"","Datetime","Date","DO_mgl"
"1",2016-04-15 00:00:00,2016-04-15,8.925
"2",2016-04-15 01:00:00,2016-04-15,9.02
"3",2016-04-15 02:00:00,2016-04-15,8.915
"4",2016-04-15 03:00:00,2016-04-15,8.735
"5",2016-04-15 04:00:00,2016-04-15,8.6
"6",2016-04-15 05:00:00,2016-04-15,8.24
"7",2016-04-15 06:00:00,2016-04-15,8.5
"8",2016-04-15 07:00:00,2016-04-15,8.37
"9",2016-04-15 08:00:00,NA,NA
"10",2016-04-15 09:00:00,2016-04-15,8.66
"11",2016-04-15 10:00:00,2016-04-15,8.655
"12",2016-04-15 11:00:00,2016-04-15,8.63
"13",2016-04-15 12:00:00,2016-04-15,8.63
"14",2016-04-15 13:00:00,2016-04-15,8.485
"15",2016-04-15 14:00:00,2016-04-15,8.56
"16",2016-04-15 15:00:00,2016-04-15,8.63
"17",2016-04-15 16:00:00,2016-04-15,8.535
"18",2016-04-15 17:00:00,2016-04-15,8.52
"19",2016-04-15 18:00:00,2016-04-15,8.64
"20",2016-04-15 19:00:00,2016-04-15,8.67
"21",2016-04-15 20:00:00,2016-04-15,8.84
"22",2016-04-15 21:00:00,NA,NA
"23",2016-04-15 22:00:00,NA,NA
"24",2016-04-15 23:00:00,NA,NA
"25",2016-04-16 00:00:00,2016-04-16,8.955
"26",2016-04-16 01:00:00,2016-04-16,8.96
"27",2016-04-16 02:00:00,2016-04-16,9.04
"28",2016-04-16 03:00:00,2016-04-16,8.98
"29",2016-04-16 04:00:00,2016-04-16,8.82
"30",2016-04-16 05:00:00,2016-04-16,8.755
"31",2016-04-16 06:00:00,2016-04-16,8.7
"32",2016-04-16 07:00:00,2016-04-16,8.59
"33",2016-04-16 08:00:00,2016-04-16,8.53
"34",2016-04-16 09:00:00,2016-04-16,8.6
"35",2016-04-16 10:00:00,2016-04-16,8.585
"36",2016-04-16 11:00:00,2016-04-16,8.475
"37",2016-04-16 12:00:00,2016-04-16,8.3
"38",2016-04-16 13:00:00,2016-04-16,8.645
"39",2016-04-16 14:00:00,2016-04-16,8.445
"40",2016-04-16 15:00:00,2016-04-16,8.555
"41",2016-04-16 16:00:00,2016-04-16,8.47
"42",2016-04-16 17:00:00,2016-04-16,8.435
"43",2016-04-16 18:00:00,2016-04-16,8.51
"44",2016-04-16 19:00:00,2016-04-16,8.535
"45",2016-04-16 20:00:00,2016-04-16,8.53
"46",2016-04-16 21:00:00,2016-04-16,8.655
"47",2016-04-16 22:00:00,2016-04-16,8.78
"48",2016-04-16 23:00:00,2016-04-16,8.795
"49",2016-04-17 00:00:00,2016-04-17,8.865
"50",2016-04-17 01:00:00,2016-04-17,8.89
"51",2016-04-17 02:00:00,2016-04-17,8.89
"52",2016-04-17 03:00:00,2016-04-17,8.88
"53",2016-04-17 04:00:00,2016-04-17,8.79
"54",2016-04-17 05:00:00,2016-04-17,8.81
"55",2016-04-17 06:00:00,2016-04-17,8.71
"56",2016-04-17 07:00:00,2016-04-17,8.62
"57",2016-04-17 08:00:00,2016-04-17,8.43
"58",2016-04-17 09:00:00,2016-04-17,8.395
"59",2016-04-17 10:00:00,2016-04-17,8.485
"60",2016-04-17 11:00:00,2016-04-17,8.45
"61",2016-04-17 12:00:00,2016-04-17,8.49
"62",2016-04-17 13:00:00,2016-04-17,8.34
"63",2016-04-17 14:00:00,2016-04-17,8.475
"64",2016-04-17 15:00:00,2016-04-17,8.395
"65",2016-04-17 16:00:00,2016-04-17,8.48
"66",2016-04-17 17:00:00,2016-04-17,8.45
"67",2016-04-17 18:00:00,2016-04-17,8.38
"68",2016-04-17 19:00:00,2016-04-17,8.34
"69",2016-04-17 20:00:00,2016-04-17,8.43
"70",2016-04-17 21:00:00,2016-04-17,8.555
"71",2016-04-17 22:00:00,2016-04-17,8.63
"72",2016-04-17 23:00:00,2016-04-17,8.725
"73",2016-04-18 00:00:00,2016-04-18,8.735
"74",2016-04-18 01:00:00,2016-04-18,8.85
"75",2016-04-18 02:00:00,2016-04-18,8.88
"76",2016-04-18 03:00:00,2016-04-18,8.7
"77",2016-04-18 04:00:00,2016-04-18,8.825
"78",2016-04-18 05:00:00,2016-04-18,8.7
"79",2016-04-18 06:00:00,2016-04-18,8.705
"80",2016-04-18 07:00:00,2016-04-18,8.58
"81",2016-04-18 08:00:00,2016-04-18,8.42
"82",2016-04-18 09:00:00,2016-04-18,8.24
"83",2016-04-18 10:00:00,2016-04-18,8.285
"84",2016-04-18 11:00:00,2016-04-18,8.41
"85",2016-04-18 12:00:00,2016-04-18,8.405
"86",2016-04-18 13:00:00,2016-04-18,8.37
"87",2016-04-18 14:00:00,2016-04-18,8.415
"88",2016-04-18 15:00:00,2016-04-18,8.51
"89",2016-04-18 16:00:00,2016-04-18,8.36
"90",2016-04-18 17:00:00,2016-04-18,8.49
"91",2016-04-18 18:00:00,2016-04-18,8.435
"92",2016-04-18 19:00:00,2016-04-18,8.26
"93",2016-04-18 20:00:00,2016-04-18,8.16
"94",2016-04-18 21:00:00,2016-04-18,8.415
"95",2016-04-18 22:00:00,2016-04-18,8.49
"96",2016-04-18 23:00:00,2016-04-18,8.585
"97",2016-04-19 00:00:00,2016-04-19,8.595
"98",2016-04-19 01:00:00,2016-04-19,8.58
"99",2016-04-19 02:00:00,2016-04-19,8.68
"100",2016-04-19 03:00:00,2016-04-19,8.79
"101",2016-04-19 04:00:00,2016-04-19,8.605
"102",2016-04-19 05:00:00,2016-04-19,8.61
"103",2016-04-19 06:00:00,2016-04-19,8.63
"104",2016-04-19 07:00:00,2016-04-19,8.54
"105",2016-04-19 08:00:00,2016-04-19,8.34
"106",2016-04-19 09:00:00,2016-04-19,8.05
"107",2016-04-19 10:00:00,2016-04-19,8.065
"108",2016-04-19 11:00:00,2016-04-19,8.295
"109",2016-04-19 12:00:00,2016-04-19,8.295
"110",2016-04-19 13:00:00,2016-04-19,8.21
"111",2016-04-19 14:00:00,2016-04-19,8.33
"112",2016-04-19 15:00:00,2016-04-19,8.5
"113",2016-04-19 16:00:00,2016-04-19,8.38
"114",2016-04-19 17:00:00,2016-04-19,8.5
"115",2016-04-19 18:00:00,2016-04-19,8.465
"116",2016-04-19 19:00:00,2016-04-19,8.45
"117",2016-04-19 20:00:00,2016-04-19,8.31
"118",2016-04-19 21:00:00,2016-04-19,8.485
"119",2016-04-19 22:00:00,2016-04-19,8.22
"120",2016-04-19 23:00:00,2016-04-19,8.405
"121",2016-04-20 00:00:00,2016-04-20,8.45
"122",2016-04-20 01:00:00,2016-04-20,8.335
"123",2016-04-20 02:00:00,2016-04-20,8.43
"124",2016-04-20 03:00:00,2016-04-20,8.475
"125",2016-04-20 04:00:00,2016-04-20,8.415
"126",2016-04-20 05:00:00,2016-04-20,8.5
"127",2016-04-20 06:00:00,2016-04-20,8.39
"128",2016-04-20 07:00:00,2016-04-20,8.28
"129",2016-04-20 08:00:00,2016-04-20,8.15
"130",2016-04-20 09:00:00,2016-04-20,8.06
"131",2016-04-20 10:00:00,2016-04-20,7.925
"132",2016-04-20 11:00:00,2016-04-20,8.09
"133",2016-04-20 12:00:00,2016-04-20,8.195
"134",2016-04-20 13:00:00,2016-04-20,8.06
"135",2016-04-20 14:00:00,2016-04-20,8.15
"136",2016-04-20 15:00:00,2016-04-20,8.335
"137",2016-04-20 16:00:00,2016-04-20,8.415
"138",2016-04-20 17:00:00,2016-04-20,8.375
"139",2016-04-20 18:00:00,2016-04-20,8.48
"140",2016-04-20 19:00:00,2016-04-20,8.32
"141",2016-04-20 20:00:00,2016-04-20,8.27
"142",2016-04-20 21:00:00,2016-04-20,8.08
"143",2016-04-20 22:00:00,2016-04-20,8.045
"144",2016-04-20 23:00:00,2016-04-20,8.13
"145",2016-04-21 00:00:00,2016-04-21,8.375
"146",2016-04-21 01:00:00,2016-04-21,8.42
"147",2016-04-21 02:00:00,2016-04-21,8.31
"148",2016-04-21 03:00:00,2016-04-21,8.36
"149",2016-04-21 04:00:00,2016-04-21,8.295
"150",2016-04-21 05:00:00,2016-04-21,8.315
"151",2016-04-21 06:00:00,2016-04-21,8.36
"152",2016-04-21 07:00:00,2016-04-21,8.315
