"","Datetime","Date","DO_pct"
"1",2016-04-15 00:00:00,2016-04-15,95.1
"2",2016-04-15 01:00:00,2016-04-15,95.45
"3",2016-04-15 02:00:00,2016-04-15,94.6
"4",2016-04-15 03:00:00,2016-04-15,93.85
"5",2016-04-15 04:00:00,2016-04-15,93.55
"6",2016-04-15 05:00:00,2016-04-15,90.4
"7",2016-04-15 06:00:00,2016-04-15,92.5
"8",2016-04-15 07:00:00,2016-04-15,91.2
"9",2016-04-15 08:00:00,2016-04-15,91.55
"10",2016-04-15 09:00:00,2016-04-15,92.75
"11",2016-04-15 10:00:00,2016-04-15,92.7
"12",2016-04-15 11:00:00,2016-04-15,92.25
"13",2016-04-15 12:00:00,2016-04-15,92
"14",2016-04-15 13:00:00,2016-04-15,90.7
"15",2016-04-15 14:00:00,2016-04-15,91.2
"16",2016-04-15 15:00:00,2016-04-15,91.8
"17",2016-04-15 16:00:00,2016-04-15,92.2
"18",2016-04-15 17:00:00,2016-04-15,92.5
"19",2016-04-15 18:00:00,2016-04-15,93
"20",2016-04-15 19:00:00,2016-04-15,93.2
"21",2016-04-15 20:00:00,2016-04-15,94.6
"22",2016-04-15 21:00:00,NA,NA
"23",2016-04-15 22:00:00,NA,NA
"24",2016-04-15 23:00:00,NA,NA
"25",2016-04-16 00:00:00,2016-04-16,94.5
"26",2016-04-16 01:00:00,2016-04-16,94.9
"27",2016-04-16 02:00:00,2016-04-16,95.7
"28",2016-04-16 03:00:00,2016-04-16,95
"29",2016-04-16 04:00:00,2016-04-16,93.7
"30",2016-04-16 05:00:00,2016-04-16,94.3
"31",2016-04-16 06:00:00,2016-04-16,93.85
"32",2016-04-16 07:00:00,2016-04-16,92.6
"33",2016-04-16 08:00:00,2016-04-16,92.15
"34",2016-04-16 09:00:00,2016-04-16,92.3
"35",2016-04-16 10:00:00,2016-04-16,91.8
"36",2016-04-16 11:00:00,2016-04-16,91
"37",2016-04-16 12:00:00,2016-04-16,88.95
"38",2016-04-16 13:00:00,2016-04-16,91.7
"39",2016-04-16 14:00:00,2016-04-16,90.15
"40",2016-04-16 15:00:00,2016-04-16,91.2
"41",2016-04-16 16:00:00,2016-04-16,90.95
"42",2016-04-16 17:00:00,2016-04-16,91.1
"43",2016-04-16 18:00:00,2016-04-16,91.35
"44",2016-04-16 19:00:00,2016-04-16,92.5
"45",2016-04-16 20:00:00,2016-04-16,93.1
"46",2016-04-16 21:00:00,2016-04-16,93.95
"47",2016-04-16 22:00:00,2016-04-16,95.4
"48",2016-04-16 23:00:00,2016-04-16,95.5
"49",2016-04-17 00:00:00,2016-04-17,95.7
"50",2016-04-17 01:00:00,2016-04-17,95.35
"51",2016-04-17 02:00:00,2016-04-17,95.3
"52",2016-04-17 03:00:00,2016-04-17,95.45
"53",2016-04-17 04:00:00,2016-04-17,94.7
"54",2016-04-17 05:00:00,2016-04-17,95.6
"55",2016-04-17 06:00:00,2016-04-17,95.25
"56",2016-04-17 07:00:00,2016-04-17,94.55
"57",2016-04-17 08:00:00,2016-04-17,92.3
"58",2016-04-17 09:00:00,2016-04-17,91.9
"59",2016-04-17 10:00:00,2016-04-17,92.4
"60",2016-04-17 11:00:00,2016-04-17,92.1
"61",2016-04-17 12:00:00,2016-04-17,92.2
"62",2016-04-17 13:00:00,2016-04-17,90.5
"63",2016-04-17 14:00:00,2016-04-17,91.2
