"","Datetime","Date","Depth"
"1",2016-04-15 00:00:00,2016-04-15,2.071
"2",2016-04-15 01:00:00,NA,NA
"3",2016-04-15 02:00:00,NA,NA
"4",2016-04-15 03:00:00,2016-04-15,3.041
"5",2016-04-15 04:00:00,2016-04-15,3.1655
"6",2016-04-15 05:00:00,2016-04-15,3.182
"7",2016-04-15 06:00:00,2016-04-15,3.107
"8",2016-04-15 07:00:00,NA,NA
"9",2016-04-15 08:00:00,2016-04-15,2.519
"10",2016-04-15 09:00:00,2016-04-15,2.4225
"11",2016-04-15 10:00:00,2016-04-15,2.3315
"12",2016-04-15 11:00:00,2016-04-15,2.359
"13",2016-04-15 12:00:00,2016-04-15,2.441
"14",2016-04-15 13:00:00,NA,NA
"15",2016-04-15 14:00:00,2016-04-15,2.949
"16",2016-04-15 15:00:00,2016-04-15,3.0605
"17",2016-04-15 16:00:00,2016-04-15,3.0895
"18",2016-04-15 17:00:00,2016-04-15,3.003
"19",2016-04-15 18:00:00,2016-04-15,2.768
"20",2016-04-15 19:00:00,NA,NA
"21",2016-04-15 20:00:00,NA,NA
"22",2016-04-15 21:00:00,NA,NA
"23",2016-04-15 22:00:00,NA,NA
"24",2016-04-15 23:00:00,NA,NA
"25",2016-04-16 00:00:00,2016-04-16,1.809
"26",2016-04-16 01:00:00,NA,NA
"27",2016-04-16 02:00:00,NA,NA
"28",2016-04-16 03:00:00,2016-04-16,2.773
"29",2016-04-16 04:00:00,2016-04-16,2.986
"30",2016-04-16 05:00:00,2016-04-16,3.13
"31",2016-04-16 06:00:00,2016-04-16,3.125
"32",2016-04-16 07:00:00,2016-04-16,3.015
"33",2016-04-16 08:00:00,NA,NA
"34",2016-04-16 09:00:00,NA,NA
"35",2016-04-16 10:00:00,2016-04-16,2.277
"36",2016-04-16 11:00:00,2016-04-16,2.196
"37",2016-04-16 12:00:00,2016-04-16,2.222
"38",2016-04-16 13:00:00,2016-04-16,2.335
"39",2016-04-16 14:00:00,NA,NA
"40",2016-04-16 15:00:00,2016-04-16,2.928
"41",2016-04-16 16:00:00,2016-04-16,3.0315
"42",2016-04-16 17:00:00,2016-04-16,3.082
"43",2016-04-16 18:00:00,2016-04-16,3.034
"44",2016-04-16 19:00:00,2016-04-16,2.907
"45",2016-04-16 20:00:00,NA,NA
"46",2016-04-16 21:00:00,2016-04-16,2.113
"47",2016-04-16 22:00:00,2016-04-16,1.924
"48",2016-04-16 23:00:00,2016-04-16,1.769
"49",2016-04-17 00:00:00,2016-04-17,1.756
"50",2016-04-17 01:00:00,2016-04-17,1.8765
"51",2016-04-17 02:00:00,NA,NA
"52",2016-04-17 03:00:00,NA,NA
"53",2016-04-17 04:00:00,2016-04-17,2.8815
"54",2016-04-17 05:00:00,2016-04-17,3.112
"55",2016-04-17 06:00:00,2016-04-17,3.225
"56",2016-04-17 07:00:00,2016-04-17,3.1815
"57",2016-04-17 08:00:00,2016-04-17,3.0475
"58",2016-04-17 09:00:00,NA,NA
