"","Datetime","Date","Sal"
"1",2016-04-15 00:00:00,2016-04-15,5.42
"2",2016-04-15 01:00:00,2016-04-15,4.795
"3",2016-04-15 02:00:00,NA,NA
"4",2016-04-15 03:00:00,2016-04-15,8.76
"5",2016-04-15 04:00:00,2016-04-15,10.61
"6",2016-04-15 05:00:00,2016-04-15,11.55
"7",2016-04-15 06:00:00,2016-04-15,11.48
"8",2016-04-15 07:00:00,2016-04-15,11.78
"9",2016-04-15 08:00:00,2016-04-15,11.28
"10",2016-04-15 09:00:00,2016-04-15,8.915
"11",2016-04-15 10:00:00,2016-04-15,8.955
"12",2016-04-15 11:00:00,2016-04-15,8.675
"13",2016-04-15 12:00:00,2016-04-15,8.325
"14",2016-04-15 13:00:00,2016-04-15,8.815
"15",2016-04-15 14:00:00,2016-04-15,8.75
"16",2016-04-15 15:00:00,2016-04-15,8.75
"17",2016-04-15 16:00:00,2016-04-15,10.595
"18",2016-04-15 17:00:00,2016-04-15,10.925
"19",2016-04-15 18:00:00,2016-04-15,9.4
"20",2016-04-15 19:00:00,2016-04-15,8.99
"21",2016-04-15 20:00:00,2016-04-15,7.32
"22",2016-04-15 21:00:00,NA,NA
"23",2016-04-15 22:00:00,NA,NA
"24",2016-04-15 23:00:00,NA,NA
"25",2016-04-16 00:00:00,2016-04-16,4.04
"26",2016-04-16 01:00:00,2016-04-16,4.185
"27",2016-04-16 02:00:00,2016-04-16,4.46
"28",2016-04-16 03:00:00,2016-04-16,4.08
"29",2016-04-16 04:00:00,NA,NA
"30",2016-04-16 05:00:00,2016-04-16,9.32
"31",2016-04-16 06:00:00,2016-04-16,9.59
"32",2016-04-16 07:00:00,2016-04-16,9.645
"33",2016-04-16 08:00:00,2016-04-16,10.195
"34",2016-04-16 09:00:00,2016-04-16,9.04
"35",2016-04-16 10:00:00,2016-04-16,8.805
"36",2016-04-16 11:00:00,2016-04-16,8.9
"37",2016-04-16 12:00:00,2016-04-16,8.635
"38",2016-04-16 13:00:00,2016-04-16,8.25
"39",2016-04-16 14:00:00,2016-04-16,8.31
"40",2016-04-16 15:00:00,2016-04-16,8.07
"41",2016-04-16 16:00:00,2016-04-16,9.33
"42",2016-04-16 17:00:00,2016-04-16,9.95
"43",2016-04-16 18:00:00,2016-04-16,9.765
"44",2016-04-16 19:00:00,2016-04-16,10.02
"45",2016-04-16 20:00:00,2016-04-16,9.91
"46",2016-04-16 21:00:00,2016-04-16,9.04
"47",2016-04-16 22:00:00,2016-04-16,7.885
"48",2016-04-16 23:00:00,2016-04-16,7.36
"49",2016-04-17 00:00:00,2016-04-17,5.94
"50",2016-04-17 01:00:00,2016-04-17,4.86
"51",2016-04-17 02:00:00,2016-04-17,4.975
"52",2016-04-17 03:00:00,2016-04-17,5.52
"53",2016-04-17 04:00:00,2016-04-17,5.875
"54",2016-04-17 05:00:00,2016-04-17,7.31
"55",2016-04-17 06:00:00,2016-04-17,9.045
"56",2016-04-17 07:00:00,2016-04-17,10.915
"57",2016-04-17 08:00:00,2016-04-17,11.67
"58",2016-04-17 09:00:00,2016-04-17,12.08
"59",2016-04-17 10:00:00,2016-04-17,11.14
"60",2016-04-17 11:00:00,2016-04-17,11.06
"61",2016-04-17 12:00:00,2016-04-17,10.67
"62",2016-04-17 13:00:00,2016-04-17,10.73
"63",2016-04-17 14:00:00,NA,NA
"64",2016-04-17 15:00:00,2016-04-17,10.21
"65",2016-04-17 16:00:00,2016-04-17,9.775
"66",2016-04-17 17:00:00,2016-04-17,10.99
"67",2016-04-17 18:00:00,NA,NA
"68",2016-04-17 19:00:00,2016-04-17,13.51
"69",2016-04-17 20:00:00,2016-04-17,12.52
"70",2016-04-17 21:00:00,2016-04-17,11.825
"71",2016-04-17 22:00:00,2016-04-17,10.505
"72",2016-04-17 23:00:00,2016-04-17,9.21
"73",2016-04-18 00:00:00,2016-04-18,8.955
"74",2016-04-18 01:00:00,2016-04-18,7.12
"75",2016-04-18 02:00:00,2016-04-18,5.45
"76",2016-04-18 03:00:00,2016-04-18,7.735
"77",2016-04-18 04:00:00,2016-04-18,7.265
"78",2016-04-18 05:00:00,2016-04-18,9.1
"79",2016-04-18 06:00:00,2016-04-18,9.67
"80",2016-04-18 07:00:00,2016-04-18,11.71
"81",2016-04-18 08:00:00,2016-04-18,13.83
"82",2016-04-18 09:00:00,2016-04-18,14.035
"83",2016-04-18 10:00:00,2016-04-18,13.69
"84",2016-04-18 11:00:00,2016-04-18,11.96
"85",2016-04-18 12:00:00,2016-04-18,11.84
"86",2016-04-18 13:00:00,2016-04-18,11.8
"87",2016-04-18 14:00:00,2016-04-18,10.4
"88",2016-04-18 15:00:00,2016-04-18,9.88
"89",2016-04-18 16:00:00,2016-04-18,10.6
"90",2016-04-18 17:00:00,2016-04-18,10.555
"91",2016-04-18 18:00:00,2016-04-18,12.01
"92",2016-04-18 19:00:00,2016-04-18,12.39
"93",2016-04-18 20:00:00,2016-04-18,15.37
"94",2016-04-18 21:00:00,2016-04-18,13.425
"95",2016-04-18 22:00:00,2016-04-18,12.31
"96",2016-04-18 23:00:00,2016-04-18,11.405
"97",2016-04-19 00:00:00,2016-04-19,10.64
