"","Datetime","Date","Water_Temp"
"1",2016-04-15 00:00:00,2016-04-15,16.715
"2",2016-04-15 01:00:00,2016-04-15,16.62
"3",2016-04-15 02:00:00,2016-04-15,16.43
"4",2016-04-15 03:00:00,2016-04-15,16.32
"5",2016-04-15 04:00:00,2016-04-15,16.19
"6",2016-04-15 05:00:00,2016-04-15,16.17
"7",2016-04-15 06:00:00,2016-04-15,16.095
"8",2016-04-15 07:00:00,2016-04-15,16.08
"9",2016-04-15 08:00:00,2016-04-15,16.095
"10",2016-04-15 09:00:00,2016-04-15,16.01
"11",2016-04-15 10:00:00,2016-04-15,16.045
"12",2016-04-15 11:00:00,2016-04-15,16.05
"13",2016-04-15 12:00:00,2016-04-15,16.04
"14",2016-04-15 13:00:00,2016-04-15,16.01
"15",2016-04-15 14:00:00,2016-04-15,15.91
"16",2016-04-15 15:00:00,2016-04-15,15.78
"17",2016-04-15 16:00:00,2016-04-15,15.97
"18",2016-04-15 17:00:00,2016-04-15,16.06
"19",2016-04-15 18:00:00,2016-04-15,16.25
"20",2016-04-15 19:00:00,2016-04-15,16.36
"21",2016-04-15 20:00:00,2016-04-15,16.5
"22",2016-04-15 21:00:00,NA,NA
"23",2016-04-15 22:00:00,NA,NA
"24",2016-04-15 23:00:00,NA,NA
"25",2016-04-16 00:00:00,2016-04-16,16.77
"26",2016-04-16 01:00:00,2016-04-16,16.805
"27",2016-04-16 02:00:00,2016-04-16,16.75
"28",2016-04-16 03:00:00,NA,NA
"29",2016-04-16 04:00:00,2016-04-16,16.515
"30",2016-04-16 05:00:00,2016-04-16,16.315
"31",2016-04-16 06:00:00,2016-04-16,16.23
"32",2016-04-16 07:00:00,2016-04-16,16.165
"33",2016-04-16 08:00:00,2016-04-16,16.125
"34",2016-04-16 09:00:00,2016-04-16,16.085
"35",2016-04-16 10:00:00,2016-04-16,16.115
"36",2016-04-16 11:00:00,2016-04-16,16.155
"37",2016-04-16 12:00:00,2016-04-16,16.17
"38",2016-04-16 13:00:00,2016-04-16,16.14
"39",2016-04-16 14:00:00,2016-04-16,16.14
"40",2016-04-16 15:00:00,2016-04-16,16.07
