"","Datetime","Date","pH"
"1",2016-04-15 00:00:00,2016-04-15,7.735
"2",2016-04-15 01:00:00,2016-04-15,7.76
"3",2016-04-15 02:00:00,2016-04-15,7.75
"4",2016-04-15 03:00:00,2016-04-15,7.745
"5",2016-04-15 04:00:00,2016-04-15,7.75
"6",2016-04-15 05:00:00,2016-04-15,7.73
"7",2016-04-15 06:00:00,2016-04-15,7.75
"8",2016-04-15 07:00:00,2016-04-15,7.75
"9",2016-04-15 08:00:00,2016-04-15,7.745
"10",2016-04-15 09:00:00,2016-04-15,7.765
"11",2016-04-15 10:00:00,2016-04-15,7.76
"12",2016-04-15 11:00:00,2016-04-15,7.75
"13",2016-04-15 12:00:00,2016-04-15,7.735
"14",2016-04-15 13:00:00,2016-04-15,7.73
"15",2016-04-15 14:00:00,2016-04-15,7.74
"16",2016-04-15 15:00:00,2016-04-15,7.75
"17",2016-04-15 16:00:00,2016-04-15,7.75
"18",2016-04-15 17:00:00,2016-04-15,7.76
"19",2016-04-15 18:00:00,2016-04-15,7.75
"20",2016-04-15 19:00:00,2016-04-15,7.76
"21",2016-04-15 20:00:00,2016-04-15,7.77
"22",2016-04-15 21:00:00,NA,NA
"23",2016-04-15 22:00:00,NA,NA
"24",2016-04-15 23:00:00,NA,NA
"25",2016-04-16 00:00:00,2016-04-16,7.73
"26",2016-04-16 01:00:00,2016-04-16,7.73
"27",2016-04-16 02:00:00,2016-04-16,7.755
"28",2016-04-16 03:00:00,2016-04-16,7.755
"29",2016-04-16 04:00:00,2016-04-16,7.73
"30",2016-04-16 05:00:00,2016-04-16,7.755
"31",2016-04-16 06:00:00,2016-04-16,7.78
"32",2016-04-16 07:00:00,2016-04-16,7.745
"33",2016-04-16 08:00:00,2016-04-16,7.745
"34",2016-04-16 09:00:00,2016-04-16,7.76
"35",2016-04-16 10:00:00,2016-04-16,7.75
"36",2016-04-16 11:00:00,2016-04-16,7.73
"37",2016-04-16 12:00:00,2016-04-16,7.72
"38",2016-04-16 13:00:00,2016-04-16,7.725
"39",2016-04-16 14:00:00,2016-04-16,7.71
"40",2016-04-16 15:00:00,2016-04-16,7.73
"41",2016-04-16 16:00:00,2016-04-16,7.735
"42",2016-04-16 17:00:00,2016-04-16,7.74
"43",2016-04-16 18:00:00,2016-04-16,7.75
"44",2016-04-16 19:00:00,2016-04-16,7.75
"45",2016-04-16 20:00:00,2016-04-16,7.76
"46",2016-04-16 21:00:00,2016-04-16,7.76
"47",2016-04-16 22:00:00,2016-04-16,7.76
"48",2016-04-16 23:00:00,2016-04-16,7.75
"49",2016-04-17 00:00:00,2016-04-17,7.76
"50",2016-04-17 01:00:00,2016-04-17,7.735
"51",2016-04-17 02:00:00,2016-04-17,7.73
"52",2016-04-17 03:00:00,2016-04-17,7.74
"53",2016-04-17 04:00:00,2016-04-17,7.74
"54",2016-04-17 05:00:00,2016-04-17,7.76
"55",2016-04-17 06:00:00,2016-04-17,7.755
"56",2016-04-17 07:00:00,2016-04-17,7.78
"57",2016-04-17 08:00:00,2016-04-17,7.75
"58",2016-04-17 09:00:00,2016-04-17,7.75
"59",2016-04-17 10:00:00,2016-04-17,7.77
"60",2016-04-17 11:00:00,2016-04-17,7.76
"61",2016-04-17 12:00:00,2016-04-17,7.75
"62",2016-04-17 13:00:00,2016-04-17,7.75
"63",2016-04-17 14:00:00,2016-04-17,7.74
"64",2016-04-17 15:00:00,2016-04-17,7.735
"65",2016-04-17 16:00:00,2016-04-17,7.75
"66",2016-04-17 17:00:00,2016-04-17,7.76
"67",2016-04-17 18:00:00,2016-04-17,7.755
"68",2016-04-17 19:00:00,2016-04-17,7.78
"69",2016-04-17 20:00:00,2016-04-17,7.78
"70",2016-04-17 21:00:00,2016-04-17,7.79
"71",2016-04-17 22:00:00,2016-04-17,7.775
"72",2016-04-17 23:00:00,2016-04-17,7.77
"73",2016-04-18 00:00:00,2016-04-18,7.77
"74",2016-04-18 01:00:00,2016-04-18,7.765
"75",2016-04-18 02:00:00,2016-04-18,7.76
"76",2016-04-18 03:00:00,2016-04-18,7.745
"77",2016-04-18 04:00:00,2016-04-18,7.765
"78",2016-04-18 05:00:00,2016-04-18,7.77
"79",2016-04-18 06:00:00,2016-04-18,7.77
"80",2016-04-18 07:00:00,2016-04-18,7.76
"81",2016-04-18 08:00:00,2016-04-18,7.79
"82",2016-04-18 09:00:00,2016-04-18,7.78
"83",2016-04-18 10:00:00,2016-04-18,7.79
"84",2016-04-18 11:00:00,2016-04-18,7.79
