"","Datetime","Date","DO_mgl"
"1",2016-05-07 00:00:00,2016-05-07,8.68
"2",2016-05-07 01:00:00,2016-05-07,8.665
"3",2016-05-07 02:00:00,2016-05-07,8.54
"4",2016-05-07 03:00:00,2016-05-07,8.5
"5",2016-05-07 04:00:00,2016-05-07,8.405
"6",2016-05-07 05:00:00,2016-05-07,8.295
"7",2016-05-07 06:00:00,2016-05-07,8.245
"8",2016-05-07 07:00:00,2016-05-07,8.31
"9",2016-05-07 08:00:00,2016-05-07,8.42
"10",2016-05-07 09:00:00,2016-05-07,8.385
"11",2016-05-07 10:00:00,2016-05-07,8.26
"12",2016-05-07 11:00:00,2016-05-07,8.39
"13",2016-05-07 12:00:00,2016-05-07,8.35
"14",2016-05-07 13:00:00,2016-05-07,8.325
"15",2016-05-07 14:00:00,2016-05-07,8.41
"16",2016-05-07 15:00:00,2016-05-07,8.44
"17",2016-05-07 16:00:00,2016-05-07,8.475
"18",2016-05-07 17:00:00,2016-05-07,8.47
"19",2016-05-07 18:00:00,2016-05-07,8.31
"20",2016-05-07 19:00:00,2016-05-07,8.3
"21",2016-05-07 20:00:00,2016-05-07,8.23
"22",2016-05-07 21:00:00,NA,NA
"23",2016-05-07 22:00:00,NA,NA
"24",2016-05-07 23:00:00,NA,NA
"25",2016-05-08 00:00:00,2016-05-08,8.305
"26",2016-05-08 01:00:00,2016-05-08,8.54
"27",2016-05-08 02:00:00,2016-05-08,8.6
"28",2016-05-08 03:00:00,2016-05-08,8.48
"29",2016-05-08 04:00:00,2016-05-08,8.52
"30",2016-05-08 05:00:00,2016-05-08,8.405
"31",2016-05-08 06:00:00,2016-05-08,8.365
"32",2016-05-08 07:00:00,2016-05-08,8.27
"33",2016-05-08 08:00:00,2016-05-08,8.295
"34",2016-05-08 09:00:00,2016-05-08,8.45
"35",2016-05-08 10:00:00,2016-05-08,8.53
"36",2016-05-08 11:00:00,2016-05-08,8.385
"37",2016-05-08 12:00:00,2016-05-08,8.39
"38",2016-05-08 13:00:00,2016-05-08,8.275
"39",2016-05-08 14:00:00,2016-05-08,8.225
"40",2016-05-08 15:00:00,2016-05-08,8.38
"41",2016-05-08 16:00:00,2016-05-08,8.41
"42",2016-05-08 17:00:00,2016-05-08,8.475
"43",2016-05-08 18:00:00,2016-05-08,8.37
"44",2016-05-08 19:00:00,2016-05-08,8.325
"45",2016-05-08 20:00:00,2016-05-08,8.29
"46",2016-05-08 21:00:00,2016-05-08,8.325
"47",2016-05-08 22:00:00,2016-05-08,8.475
"48",2016-05-08 23:00:00,2016-05-08,8.52
"49",2016-05-09 00:00:00,2016-05-09,8.55
"50",2016-05-09 01:00:00,2016-05-09,8.495
"51",2016-05-09 02:00:00,2016-05-09,8.58
"52",2016-05-09 03:00:00,2016-05-09,8.595
"53",2016-05-09 04:00:00,2016-05-09,8.495
"54",2016-05-09 05:00:00,2016-05-09,8.525
"55",2016-05-09 06:00:00,2016-05-09,8.42
"56",2016-05-09 07:00:00,2016-05-09,8.415
"57",2016-05-09 08:00:00,2016-05-09,8.43
