"","Datetime","Depth","Date"
"1",2016-05-07 03:00:00,1.826,2016-05-07
"2",2016-05-07 04:00:00,2.157,2016-05-07
"3",2016-05-07 05:00:00,2.4505,2016-05-07
"4",2016-05-07 06:00:00,2.739,2016-05-07
"5",2016-05-07 07:00:00,2.818,2016-05-07
"6",2016-05-07 08:00:00,2.6925,2016-05-07
"7",2016-05-07 09:00:00,2.488,2016-05-07
"8",2016-05-07 10:00:00,NA,NA
"9",2016-05-07 11:00:00,1.095,2016-05-07
"10",2016-05-07 12:00:00,0.793,2016-05-07
"11",2016-05-07 13:00:00,0.55,2016-05-07
"12",2016-05-07 14:00:00,0.5105,2016-05-07
"13",2016-05-07 15:00:00,0.6985,2016-05-07
"14",2016-05-07 16:00:00,NA,NA
"15",2016-05-07 17:00:00,NA,NA
"16",2016-05-07 18:00:00,1.869,2016-05-07
"17",2016-05-07 19:00:00,2.168,2016-05-07
"18",2016-05-07 20:00:00,2.3345,2016-05-07
"19",2016-05-07 21:00:00,2.3275,2016-05-07
"20",2016-05-07 22:00:00,2.1585,2016-05-07
"21",2016-05-07 23:00:00,NA,NA
"22",2016-05-08 00:00:00,1.42,2016-05-08
"23",2016-05-08 01:00:00,1.3385,2016-05-08
"24",2016-05-08 02:00:00,1.348,2016-05-08
"25",2016-05-08 03:00:00,1.52,2016-05-08
"26",2016-05-08 04:00:00,NA,NA
"27",2016-05-08 05:00:00,2.357,2016-05-08
"28",2016-05-08 06:00:00,2.559,2016-05-08
"29",2016-05-08 07:00:00,2.792,2016-05-08
"30",2016-05-08 08:00:00,2.8405,2016-05-08
"31",2016-05-08 09:00:00,2.617,2016-05-08
"32",2016-05-08 10:00:00,NA,NA
"33",2016-05-08 11:00:00,NA,NA
"34",2016-05-08 12:00:00,1.072,2016-05-08
"35",2016-05-08 13:00:00,0.729,2016-05-08
"36",2016-05-08 14:00:00,0.5135,2016-05-08
"37",2016-05-08 15:00:00,0.5,2016-05-08
"38",2016-05-08 16:00:00,0.684,2016-05-08
"39",2016-05-08 17:00:00,NA,NA
"40",2016-05-08 18:00:00,1.655,2016-05-08
"41",2016-05-08 19:00:00,1.866,2016-05-08
"42",2016-05-08 20:00:00,2.145,2016-05-08
"43",2016-05-08 21:00:00,2.309,2016-05-08
"44",2016-05-08 22:00:00,2.2975,2016-05-08
"45",2016-05-08 23:00:00,2.1475,2016-05-08
"46",2016-05-09 00:00:00,NA,NA
"47",2016-05-09 01:00:00,1.482,2016-05-09
"48",2016-05-09 02:00:00,1.4425,2016-05-09
"49",2016-05-09 03:00:00,1.4735,2016-05-09
"50",2016-05-09 04:00:00,1.6265,2016-05-09
"51",2016-05-09 05:00:00,NA,NA
"52",2016-05-09 06:00:00,2.407,2016-05-09
"53",2016-05-09 07:00:00,2.5795,2016-05-09
"54",2016-05-09 08:00:00,2.748,2016-05-09
"55",2016-05-09 09:00:00,2.7375,2016-05-09
"56",2016-05-09 10:00:00,2.558,2016-05-09
"57",2016-05-09 11:00:00,NA,NA
"58",2016-05-09 12:00:00,NA,NA
"59",2016-05-09 13:00:00,1.0475,2016-05-09
"60",2016-05-09 14:00:00,0.704,2016-05-09
"61",2016-05-09 15:00:00,0.528,2016-05-09
"62",2016-05-09 16:00:00,0.5305,2016-05-09
"63",2016-05-09 17:00:00,0.7255,2016-05-09
"64",2016-05-09 18:00:00,NA,NA
"65",2016-05-09 19:00:00,1.6585,2016-05-09
"66",2016-05-09 20:00:00,1.8555,2016-05-09
"67",2016-05-09 21:00:00,2.1445,2016-05-09
"68",2016-05-09 22:00:00,2.267,2016-05-09
"69",2016-05-09 23:00:00,2.2745,2016-05-09
"70",2016-05-10 00:00:00,2.116,2016-05-10
"71",2016-05-10 01:00:00,NA,NA
"72",2016-05-10 02:00:00,1.5425,2016-05-10
"73",2016-05-10 03:00:00,1.496,2016-05-10
"74",2016-05-10 04:00:00,1.554,2016-05-10
"75",2016-05-10 05:00:00,1.671,2016-05-10
"76",2016-05-10 06:00:00,NA,NA
"77",2016-05-10 07:00:00,2.382,2016-05-10
