"","Datetime","Date","Sal"
"1",2016-05-07 00:00:00,2016-05-07,25.72
"2",2016-05-07 01:00:00,2016-05-07,25.32
"3",2016-05-07 02:00:00,2016-05-07,25.355
"4",2016-05-07 03:00:00,2016-05-07,25.295
"5",2016-05-07 04:00:00,2016-05-07,25.355
"6",2016-05-07 05:00:00,2016-05-07,27.65
"7",2016-05-07 06:00:00,2016-05-07,28.565
"8",2016-05-07 07:00:00,2016-05-07,29.14
"9",2016-05-07 08:00:00,2016-05-07,29.645
"10",2016-05-07 09:00:00,2016-05-07,29.63
"11",2016-05-07 10:00:00,2016-05-07,27.88
"12",2016-05-07 11:00:00,2016-05-07,26.43
"13",2016-05-07 12:00:00,2016-05-07,26.22
"14",2016-05-07 13:00:00,2016-05-07,26.12
"15",2016-05-07 14:00:00,2016-05-07,24.245
"16",2016-05-07 15:00:00,2016-05-07,23.51
"17",2016-05-07 16:00:00,2016-05-07,22.98
"18",2016-05-07 17:00:00,2016-05-07,22.96
"19",2016-05-07 18:00:00,2016-05-07,25.835
"20",2016-05-07 19:00:00,2016-05-07,27.325
"21",2016-05-07 20:00:00,2016-05-07,27.775
"22",2016-05-07 21:00:00,NA,NA
"23",2016-05-07 22:00:00,NA,NA
"24",2016-05-07 23:00:00,NA,NA
"25",2016-05-08 00:00:00,2016-05-08,28.32
"26",2016-05-08 01:00:00,NA,NA
"27",2016-05-08 02:00:00,2016-05-08,25.11
"28",2016-05-08 03:00:00,2016-05-08,25.2
"29",2016-05-08 04:00:00,2016-05-08,25.215
"30",2016-05-08 05:00:00,2016-05-08,25.13
"31",2016-05-08 06:00:00,2016-05-08,27.63
"32",2016-05-08 07:00:00,2016-05-08,28.64
"33",2016-05-08 08:00:00,2016-05-08,28.92
"34",2016-05-08 09:00:00,2016-05-08,29.74
"35",2016-05-08 10:00:00,2016-05-08,29.635
"36",2016-05-08 11:00:00,2016-05-08,28.36
"37",2016-05-08 12:00:00,2016-05-08,26.25
"38",2016-05-08 13:00:00,2016-05-08,26.16
"39",2016-05-08 14:00:00,2016-05-08,25.59
"40",2016-05-08 15:00:00,2016-05-08,24.5
"41",2016-05-08 16:00:00,2016-05-08,22.87
"42",2016-05-08 17:00:00,2016-05-08,22.72
"43",2016-05-08 18:00:00,2016-05-08,22.915
"44",2016-05-08 19:00:00,NA,NA
"45",2016-05-08 20:00:00,NA,NA
"46",2016-05-08 21:00:00,2016-05-08,27.89
"47",2016-05-08 22:00:00,2016-05-08,28.685
"48",2016-05-08 23:00:00,2016-05-08,28.995
"49",2016-05-09 00:00:00,2016-05-09,29.075
"50",2016-05-09 01:00:00,2016-05-09,28.9
"51",2016-05-09 02:00:00,NA,NA
"52",2016-05-09 03:00:00,2016-05-09,25.115
"53",2016-05-09 04:00:00,2016-05-09,25.22
"54",2016-05-09 05:00:00,2016-05-09,25.175
"55",2016-05-09 06:00:00,2016-05-09,25.81
"56",2016-05-09 07:00:00,NA,NA
"57",2016-05-09 08:00:00,2016-05-09,28.395
"58",2016-05-09 09:00:00,2016-05-09,29.03
"59",2016-05-09 10:00:00,2016-05-09,29.57
"60",2016-05-09 11:00:00,2016-05-09,29.415
"61",2016-05-09 12:00:00,2016-05-09,28.11
"62",2016-05-09 13:00:00,2016-05-09,26.21
"63",2016-05-09 14:00:00,2016-05-09,26.045
"64",2016-05-09 15:00:00,2016-05-09,25.87
"65",2016-05-09 16:00:00,2016-05-09,24.615
"66",2016-05-09 17:00:00,2016-05-09,23.15
"67",2016-05-09 18:00:00,2016-05-09,22.915
"68",2016-05-09 19:00:00,2016-05-09,23.235
"69",2016-05-09 20:00:00,2016-05-09,24.13
"70",2016-05-09 21:00:00,NA,NA
"71",2016-05-09 22:00:00,2016-05-09,28.485
"72",2016-05-09 23:00:00,2016-05-09,28.835
"73",2016-05-10 00:00:00,2016-05-10,29.17
"74",2016-05-10 01:00:00,2016-05-10,29.155
"75",2016-05-10 02:00:00,2016-05-10,28.95
"76",2016-05-10 03:00:00,NA,NA
"77",2016-05-10 04:00:00,NA,NA
"78",2016-05-10 05:00:00,2016-05-10,26.15
"79",2016-05-10 06:00:00,2016-05-10,26.24
"80",2016-05-10 07:00:00,2016-05-10,26.75
"81",2016-05-10 08:00:00,NA,NA
"82",2016-05-10 09:00:00,2016-05-10,28.65
"83",2016-05-10 10:00:00,2016-05-10,29.48
"84",2016-05-10 11:00:00,2016-05-10,29.71
"85",2016-05-10 12:00:00,2016-05-10,29.15
"86",2016-05-10 13:00:00,NA,NA
"87",2016-05-10 14:00:00,2016-05-10,26.495
"88",2016-05-10 15:00:00,2016-05-10,26.185
"89",2016-05-10 16:00:00,2016-05-10,25.855
"90",2016-05-10 17:00:00,NA,NA
"91",2016-05-10 18:00:00,2016-05-10,22.73
"92",2016-05-10 19:00:00,2016-05-10,22.5
"93",2016-05-10 20:00:00,2016-05-10,23.21
"94",2016-05-10 21:00:00,2016-05-10,23.91
"95",2016-05-10 22:00:00,NA,NA
"96",2016-05-10 23:00:00,2016-05-10,28.33
"97",2016-05-11 00:00:00,2016-05-11,29.03
"98",2016-05-11 01:00:00,2016-05-11,29.055
"99",2016-05-11 02:00:00,2016-05-11,29.125
"100",2016-05-11 03:00:00,2016-05-11,28.94
"101",2016-05-11 04:00:00,NA,NA
"102",2016-05-11 05:00:00,2016-05-11,26.98
"103",2016-05-11 06:00:00,2016-05-11,26.035
"104",2016-05-11 07:00:00,2016-05-11,26.405
"105",2016-05-11 08:00:00,2016-05-11,26.93
"106",2016-05-11 09:00:00,2016-05-11,27.9
"107",2016-05-11 10:00:00,2016-05-11,28.48
"108",2016-05-11 11:00:00,2016-05-11,29.235
"109",2016-05-11 12:00:00,2016-05-11,29.485
"110",2016-05-11 13:00:00,2016-05-11,29.52
"111",2016-05-11 14:00:00,NA,NA
"112",2016-05-11 15:00:00,2016-05-11,26.37
"113",2016-05-11 16:00:00,2016-05-11,26.075
