"","Datetime","Date","Water_Temp"
"1",2016-05-07 00:00:00,2016-05-07,14.385
"2",2016-05-07 01:00:00,2016-05-07,14.86
"3",2016-05-07 02:00:00,2016-05-07,14.855
"4",2016-05-07 03:00:00,2016-05-07,14.835
"5",2016-05-07 04:00:00,2016-05-07,14.79
"6",2016-05-07 05:00:00,2016-05-07,13.7
"7",2016-05-07 06:00:00,2016-05-07,13.185
"8",2016-05-07 07:00:00,2016-05-07,12.805
"9",2016-05-07 08:00:00,2016-05-07,12.495
"10",2016-05-07 09:00:00,2016-05-07,12.49
"11",2016-05-07 10:00:00,2016-05-07,13.395
"12",2016-05-07 11:00:00,2016-05-07,13.965
"13",2016-05-07 12:00:00,2016-05-07,14.085
"14",2016-05-07 13:00:00,2016-05-07,14.12
"15",2016-05-07 14:00:00,2016-05-07,14.62
"16",2016-05-07 15:00:00,2016-05-07,14.835
"17",2016-05-07 16:00:00,2016-05-07,14.99
"18",2016-05-07 17:00:00,2016-05-07,14.975
"19",2016-05-07 18:00:00,2016-05-07,14.27
"20",2016-05-07 19:00:00,2016-05-07,13.61
"21",2016-05-07 20:00:00,2016-05-07,13.36
"22",2016-05-07 21:00:00,NA,NA
"23",2016-05-07 22:00:00,NA,NA
"24",2016-05-07 23:00:00,NA,NA
"25",2016-05-08 00:00:00,2016-05-08,13.18
"26",2016-05-08 01:00:00,NA,NA
"27",2016-05-08 02:00:00,2016-05-08,14.41
"28",2016-05-08 03:00:00,2016-05-08,14.375
"29",2016-05-08 04:00:00,2016-05-08,14.355
"30",2016-05-08 05:00:00,2016-05-08,14.38
"31",2016-05-08 06:00:00,2016-05-08,13.435
"32",2016-05-08 07:00:00,2016-05-08,13.03
"33",2016-05-08 08:00:00,2016-05-08,12.875
"34",2016-05-08 09:00:00,2016-05-08,12.37
"35",2016-05-08 10:00:00,2016-05-08,12.465
"36",2016-05-08 11:00:00,2016-05-08,13.06
"37",2016-05-08 12:00:00,2016-05-08,13.89
"38",2016-05-08 13:00:00,2016-05-08,13.935
"39",2016-05-08 14:00:00,2016-05-08,14.18
"40",2016-05-08 15:00:00,2016-05-08,14.51
"41",2016-05-08 16:00:00,2016-05-08,14.9
"42",2016-05-08 17:00:00,2016-05-08,14.99
"43",2016-05-08 18:00:00,2016-05-08,14.97
"44",2016-05-08 19:00:00,2016-05-08,14.695
"45",2016-05-08 20:00:00,2016-05-08,14.29
"46",2016-05-08 21:00:00,2016-05-08,13.36
"47",2016-05-08 22:00:00,2016-05-08,13.045
"48",2016-05-08 23:00:00,2016-05-08,12.9
"49",2016-05-09 00:00:00,2016-05-09,12.9
"50",2016-05-09 01:00:00,2016-05-09,13
"51",2016-05-09 02:00:00,NA,NA
"52",2016-05-09 03:00:00,2016-05-09,14.84
"53",2016-05-09 04:00:00,2016-05-09,14.76
"54",2016-05-09 05:00:00,2016-05-09,14.745
"55",2016-05-09 06:00:00,2016-05-09,14.56
"56",2016-05-09 07:00:00,NA,NA
"57",2016-05-09 08:00:00,2016-05-09,13.315
"58",2016-05-09 09:00:00,2016-05-09,13.06
"59",2016-05-09 10:00:00,2016-05-09,12.69
"60",2016-05-09 11:00:00,2016-05-09,12.76
"61",2016-05-09 12:00:00,2016-05-09,13.36
"62",2016-05-09 13:00:00,2016-05-09,13.99
"63",2016-05-09 14:00:00,2016-05-09,14.105
"64",2016-05-09 15:00:00,2016-05-09,14.315
"65",2016-05-09 16:00:00,2016-05-09,14.66
"66",2016-05-09 17:00:00,2016-05-09,15.165
"67",2016-05-09 18:00:00,2016-05-09,15.345
"68",2016-05-09 19:00:00,2016-05-09,15.14
"69",2016-05-09 20:00:00,2016-05-09,14.86
"70",2016-05-09 21:00:00,2016-05-09,14.16
"71",2016-05-09 22:00:00,2016-05-09,13.28
"72",2016-05-09 23:00:00,2016-05-09,13.145
"73",2016-05-10 00:00:00,2016-05-10,12.925
"74",2016-05-10 01:00:00,2016-05-10,12.975
"75",2016-05-10 02:00:00,2016-05-10,13.12
"76",2016-05-10 03:00:00,NA,NA
"77",2016-05-10 04:00:00,2016-05-10,14.47
"78",2016-05-10 05:00:00,2016-05-10,14.42
"79",2016-05-10 06:00:00,2016-05-10,14.375
"80",2016-05-10 07:00:00,2016-05-10,14.17
"81",2016-05-10 08:00:00,2016-05-10,13.57
"82",2016-05-10 09:00:00,2016-05-10,13.195
