"","Datetime","Date","pH"
"1",2016-05-07 00:00:00,2016-05-07,7.75
"2",2016-05-07 01:00:00,2016-05-07,7.81
"3",2016-05-07 02:00:00,2016-05-07,7.81
"4",2016-05-07 03:00:00,2016-05-07,7.8
"5",2016-05-07 04:00:00,2016-05-07,7.79
"6",2016-05-07 05:00:00,2016-05-07,7.78
"7",2016-05-07 06:00:00,2016-05-07,7.78
"8",2016-05-07 07:00:00,2016-05-07,7.78
"9",2016-05-07 08:00:00,2016-05-07,7.8
"10",2016-05-07 09:00:00,2016-05-07,7.8
"11",2016-05-07 10:00:00,2016-05-07,7.79
"12",2016-05-07 11:00:00,2016-05-07,7.79
"13",2016-05-07 12:00:00,2016-05-07,7.79
"14",2016-05-07 13:00:00,2016-05-07,7.765
"15",2016-05-07 14:00:00,2016-05-07,7.74
"16",2016-05-07 15:00:00,2016-05-07,7.74
"17",2016-05-07 16:00:00,2016-05-07,7.74
"18",2016-05-07 17:00:00,2016-05-07,7.74
"19",2016-05-07 18:00:00,2016-05-07,7.73
"20",2016-05-07 19:00:00,2016-05-07,7.72
"21",2016-05-07 20:00:00,2016-05-07,7.72
"22",2016-05-07 21:00:00,NA,NA
"23",2016-05-07 22:00:00,NA,NA
"24",2016-05-07 23:00:00,NA,NA
"25",2016-05-08 00:00:00,2016-05-08,7.74
"26",2016-05-08 01:00:00,2016-05-08,7.76
"27",2016-05-08 02:00:00,2016-05-08,7.76
"28",2016-05-08 03:00:00,2016-05-08,7.75
"29",2016-05-08 04:00:00,2016-05-08,7.75
"30",2016-05-08 05:00:00,2016-05-08,7.74
"31",2016-05-08 06:00:00,2016-05-08,7.74
"32",2016-05-08 07:00:00,2016-05-08,7.75
"33",2016-05-08 08:00:00,2016-05-08,7.76
"34",2016-05-08 09:00:00,2016-05-08,7.77
"35",2016-05-08 10:00:00,2016-05-08,7.775
"36",2016-05-08 11:00:00,2016-05-08,7.76
"37",2016-05-08 12:00:00,2016-05-08,7.75
"38",2016-05-08 13:00:00,2016-05-08,7.74
"39",2016-05-08 14:00:00,2016-05-08,7.75
"40",2016-05-08 15:00:00,2016-05-08,7.75
"41",2016-05-08 16:00:00,2016-05-08,7.74
