"","Datetime","Date","DO_mgl"
"1",2016-04-19 10:00:00,2016-04-19,8.6
"2",2016-04-19 11:00:00,2016-04-19,10.5
"3",2016-04-19 12:00:00,2016-04-19,11.6
"4",2016-04-19 13:00:00,2016-04-19,11.6
"5",2016-04-19 14:00:00,2016-04-19,11.25
"6",2016-04-19 15:00:00,2016-04-19,11.3
"7",2016-04-19 16:00:00,2016-04-19,10.2
"8",2016-04-19 17:00:00,2016-04-19,9.7
"9",2016-04-19 18:00:00,2016-04-19,9.9
"10",2016-04-19 19:00:00,NA,NA
"11",2016-04-19 20:00:00,NA,NA
"12",2016-04-19 21:00:00,NA,NA
"13",2016-04-19 22:00:00,NA,NA
"14",2016-04-19 23:00:00,NA,NA
"15",2016-04-20 00:00:00,2016-04-20,7.8
"16",2016-04-20 01:00:00,2016-04-20,8
"17",2016-04-20 02:00:00,2016-04-20,8.15
"18",2016-04-20 03:00:00,2016-04-20,8.2
"19",2016-04-20 04:00:00,2016-04-20,8
"20",2016-04-20 05:00:00,NA,NA
"21",2016-04-20 06:00:00,2016-04-20,6.7
"22",2016-04-20 07:00:00,2016-04-20,7.25
"23",2016-04-20 08:00:00,2016-04-20,7.35
"24",2016-04-20 09:00:00,2016-04-20,7.85
"25",2016-04-20 10:00:00,2016-04-20,8.25
"26",2016-04-20 11:00:00,2016-04-20,9.1
"27",2016-04-20 12:00:00,2016-04-20,8.9
"28",2016-04-20 13:00:00,2016-04-20,8.9
"29",2016-04-20 14:00:00,2016-04-20,9.85
"30",2016-04-20 15:00:00,2016-04-20,9.85
"31",2016-04-20 16:00:00,2016-04-20,9.85
"32",2016-04-20 17:00:00,2016-04-20,9.2
"33",2016-04-20 18:00:00,2016-04-20,9.05
"34",2016-04-20 19:00:00,2016-04-20,8.7
"35",2016-04-20 20:00:00,2016-04-20,8.65
"36",2016-04-20 21:00:00,2016-04-20,7.75
"37",2016-04-20 22:00:00,2016-04-20,7.7
"38",2016-04-20 23:00:00,2016-04-20,7.55
"39",2016-04-21 00:00:00,2016-04-21,7.4
"40",2016-04-21 01:00:00,2016-04-21,7.35
"41",2016-04-21 02:00:00,2016-04-21,7.45
"42",2016-04-21 03:00:00,2016-04-21,7.5
"43",2016-04-21 04:00:00,2016-04-21,7.15
"44",2016-04-21 05:00:00,NA,NA
"45",2016-04-21 06:00:00,2016-04-21,6.25
"46",2016-04-21 07:00:00,2016-04-21,6.5
"47",2016-04-21 08:00:00,2016-04-21,6.8
"48",2016-04-21 09:00:00,2016-04-21,6.95
"49",2016-04-21 10:00:00,2016-04-21,7.8
"50",2016-04-21 11:00:00,2016-04-21,7.9
"51",2016-04-21 12:00:00,2016-04-21,8
"52",2016-04-21 13:00:00,2016-04-21,8.3
"53",2016-04-21 14:00:00,2016-04-21,8.05
"54",2016-04-21 15:00:00,2016-04-21,8.4
"55",2016-04-21 16:00:00,NA,NA
"56",2016-04-21 17:00:00,2016-04-21,9.8
