"","Datetime","Date","DO_pct"
"1",2016-04-19 10:00:00,2016-04-19,99.7
"2",2016-04-19 11:00:00,NA,NA
"3",2016-04-19 12:00:00,2016-04-19,140.1
"4",2016-04-19 13:00:00,2016-04-19,138.7
"5",2016-04-19 14:00:00,2016-04-19,136.95
"6",2016-04-19 15:00:00,2016-04-19,138.1
"7",2016-04-19 16:00:00,2016-04-19,127.55
"8",2016-04-19 17:00:00,2016-04-19,120.85
"9",2016-04-19 18:00:00,2016-04-19,122.6
"10",2016-04-19 19:00:00,NA,NA
"11",2016-04-19 20:00:00,NA,NA
"12",2016-04-19 21:00:00,NA,NA
"13",2016-04-19 22:00:00,NA,NA
"14",2016-04-19 23:00:00,NA,NA
"15",2016-04-20 00:00:00,2016-04-20,91.2
"16",2016-04-20 01:00:00,2016-04-20,92.6
"17",2016-04-20 02:00:00,2016-04-20,97.65
"18",2016-04-20 03:00:00,2016-04-20,99.25
"19",2016-04-20 04:00:00,2016-04-20,96.95
"20",2016-04-20 05:00:00,2016-04-20,94.4
"21",2016-04-20 06:00:00,2016-04-20,80.8
"22",2016-04-20 07:00:00,2016-04-20,86.6
"23",2016-04-20 08:00:00,2016-04-20,87.65
"24",2016-04-20 09:00:00,2016-04-20,91.4
"25",2016-04-20 10:00:00,2016-04-20,96.7
"26",2016-04-20 11:00:00,2016-04-20,106.3
"27",2016-04-20 12:00:00,2016-04-20,103.85
"28",2016-04-20 13:00:00,2016-04-20,104.9
"29",2016-04-20 14:00:00,2016-04-20,120.5
"30",2016-04-20 15:00:00,2016-04-20,121.6
"31",2016-04-20 16:00:00,2016-04-20,121.55
"32",2016-04-20 17:00:00,2016-04-20,113.45
"33",2016-04-20 18:00:00,2016-04-20,110.9
"34",2016-04-20 19:00:00,2016-04-20,106.2
"35",2016-04-20 20:00:00,2016-04-20,105.6
"36",2016-04-20 21:00:00,2016-04-20,89.9
"37",2016-04-20 22:00:00,2016-04-20,89.9
"38",2016-04-20 23:00:00,2016-04-20,88.5
"39",2016-04-21 00:00:00,2016-04-21,86.2
"40",2016-04-21 01:00:00,2016-04-21,86.8
"41",2016-04-21 02:00:00,2016-04-21,87.75
"42",2016-04-21 03:00:00,2016-04-21,88.9
"43",2016-04-21 04:00:00,2016-04-21,86.95
"44",2016-04-21 05:00:00,NA,NA
"45",2016-04-21 06:00:00,2016-04-21,74.7
"46",2016-04-21 07:00:00,2016-04-21,78
"47",2016-04-21 08:00:00,2016-04-21,81.9
"48",2016-04-21 09:00:00,2016-04-21,82.3
"49",2016-04-21 10:00:00,2016-04-21,91.6
"50",2016-04-21 11:00:00,2016-04-21,92.65
"51",2016-04-21 12:00:00,2016-04-21,94.75
"52",2016-04-21 13:00:00,2016-04-21,98.4
"53",2016-04-21 14:00:00,2016-04-21,97.95
"54",2016-04-21 15:00:00,2016-04-21,102.55
"55",2016-04-21 16:00:00,NA,NA
"56",2016-04-21 17:00:00,2016-04-21,121.75
"57",2016-04-21 18:00:00,2016-04-21,106.65
"58",2016-04-21 19:00:00,2016-04-21,103.9
"59",2016-04-21 20:00:00,2016-04-21,105.45
"60",2016-04-21 21:00:00,2016-04-21,98
"61",2016-04-21 22:00:00,2016-04-21,89.9
"62",2016-04-21 23:00:00,2016-04-21,89.9
"63",2016-04-22 00:00:00,2016-04-22,90
"64",2016-04-22 01:00:00,2016-04-22,91.6
"65",2016-04-22 02:00:00,2016-04-22,96.55
"66",2016-04-22 03:00:00,2016-04-22,95.6
"67",2016-04-22 04:00:00,2016-04-22,96.75
"68",2016-04-22 05:00:00,2016-04-22,93
"69",2016-04-22 06:00:00,2016-04-22,88.5
"70",2016-04-22 07:00:00,2016-04-22,87.9
"71",2016-04-22 08:00:00,2016-04-22,88.7
"72",2016-04-22 09:00:00,2016-04-22,91
"73",2016-04-22 10:00:00,2016-04-22,90.55
"74",2016-04-22 11:00:00,2016-04-22,89.95
"75",2016-04-22 12:00:00,2016-04-22,92.1
