"","Datetime","Date","Water_Temp"
"1",2016-04-19 10:00:00,2016-04-19,14.7
"2",2016-04-19 11:00:00,2016-04-19,14.85
"3",2016-04-19 12:00:00,2016-04-19,15.15
"4",2016-04-19 13:00:00,NA,NA
"5",2016-04-19 14:00:00,2016-04-19,17.8
"6",2016-04-19 15:00:00,2016-04-19,18.2
"7",2016-04-19 16:00:00,2016-04-19,18.5
"8",2016-04-19 17:00:00,2016-04-19,18.4
"9",2016-04-19 18:00:00,2016-04-19,18.1
"10",2016-04-19 19:00:00,NA,NA
"11",2016-04-19 20:00:00,NA,NA
"12",2016-04-19 21:00:00,NA,NA
"13",2016-04-19 22:00:00,NA,NA
"14",2016-04-19 23:00:00,NA,NA
"15",2016-04-20 00:00:00,2016-04-20,14.9
"16",2016-04-20 01:00:00,NA,NA
"17",2016-04-20 02:00:00,NA,NA
"18",2016-04-20 03:00:00,2016-04-20,17.05
"19",2016-04-20 04:00:00,2016-04-20,16.9
"20",2016-04-20 05:00:00,2016-04-20,17.05
"21",2016-04-20 06:00:00,2016-04-20,16.6
"22",2016-04-20 07:00:00,2016-04-20,16.4
"23",2016-04-20 08:00:00,2016-04-20,16.1
"24",2016-04-20 09:00:00,2016-04-20,14.7
"25",2016-04-20 10:00:00,2016-04-20,14.8
"26",2016-04-20 11:00:00,2016-04-20,14.7
"27",2016-04-20 12:00:00,2016-04-20,14.8
"28",2016-04-20 13:00:00,NA,NA
"29",2016-04-20 14:00:00,NA,NA
"30",2016-04-20 15:00:00,2016-04-20,17.75
"31",2016-04-20 16:00:00,2016-04-20,17.7
"32",2016-04-20 17:00:00,2016-04-20,17.6
"33",2016-04-20 18:00:00,2016-04-20,17.5
"34",2016-04-20 19:00:00,2016-04-20,17.2
"35",2016-04-20 20:00:00,NA,NA
"36",2016-04-20 21:00:00,NA,NA
"37",2016-04-20 22:00:00,2016-04-20,14.55
"38",2016-04-20 23:00:00,2016-04-20,14.55
"39",2016-04-21 00:00:00,2016-04-21,14.6
"40",2016-04-21 01:00:00,2016-04-21,14.6
"41",2016-04-21 02:00:00,NA,NA
"42",2016-04-21 03:00:00,NA,NA
"43",2016-04-21 04:00:00,2016-04-21,16.8
"44",2016-04-21 05:00:00,2016-04-21,16.45
"45",2016-04-21 06:00:00,2016-04-21,16.3
"46",2016-04-21 07:00:00,2016-04-21,16.15
"47",2016-04-21 08:00:00,2016-04-21,16.2
"48",2016-04-21 09:00:00,2016-04-21,16.1
"49",2016-04-21 10:00:00,2016-04-21,14.8
"50",2016-04-21 11:00:00,2016-04-21,15
"51",2016-04-21 12:00:00,2016-04-21,15.2
"52",2016-04-21 13:00:00,2016-04-21,15.4
"53",2016-04-21 14:00:00,NA,NA
"54",2016-04-21 15:00:00,2016-04-21,17.35
"55",2016-04-21 16:00:00,2016-04-21,17.95
"56",2016-04-21 17:00:00,2016-04-21,17.9
"57",2016-04-21 18:00:00,2016-04-21,17.7
"58",2016-04-21 19:00:00,2016-04-21,16.9
"59",2016-04-21 20:00:00,2016-04-21,16.6
"60",2016-04-21 21:00:00,2016-04-21,15.35
"61",2016-04-21 22:00:00,2016-04-21,14.4
"62",2016-04-21 23:00:00,2016-04-21,14.4
"63",2016-04-22 00:00:00,2016-04-22,14.4
"64",2016-04-22 01:00:00,2016-04-22,15
"65",2016-04-22 02:00:00,NA,NA
"66",2016-04-22 03:00:00,2016-04-22,17.25
