"","Datetime","Date","Depth"
"1",2016-04-19 10:00:00,2016-04-19,2.15
"2",2016-04-19 11:00:00,2016-04-19,2.04
"3",2016-04-19 12:00:00,2016-04-19,1.875
"4",2016-04-19 13:00:00,NA,NA
"5",2016-04-19 14:00:00,2016-04-19,1.22
"6",2016-04-19 15:00:00,2016-04-19,1.015
"7",2016-04-19 16:00:00,2016-04-19,1.03
"8",2016-04-19 17:00:00,2016-04-19,1.18
"9",2016-04-19 18:00:00,2016-04-19,1.345
"10",2016-04-19 19:00:00,NA,NA
"11",2016-04-19 20:00:00,NA,NA
"12",2016-04-19 21:00:00,NA,NA
"13",2016-04-19 22:00:00,NA,NA
"14",2016-04-19 23:00:00,NA,NA
"15",2016-04-20 00:00:00,2016-04-20,2.1
"16",2016-04-20 01:00:00,NA,NA
"17",2016-04-20 02:00:00,2016-04-20,1.27
"18",2016-04-20 03:00:00,2016-04-20,1.04
"19",2016-04-20 04:00:00,2016-04-20,0.9
"20",2016-04-20 05:00:00,2016-04-20,0.97
"21",2016-04-20 06:00:00,2016-04-20,1.13
"22",2016-04-20 07:00:00,NA,NA
"23",2016-04-20 08:00:00,2016-04-20,1.78
"24",2016-04-20 09:00:00,2016-04-20,1.975
"25",2016-04-20 10:00:00,2016-04-20,2.12
"26",2016-04-20 11:00:00,2016-04-20,2.155
"27",2016-04-20 12:00:00,2016-04-20,2
"28",2016-04-20 13:00:00,NA,NA
"29",2016-04-20 14:00:00,2016-04-20,1.33
"30",2016-04-20 15:00:00,2016-04-20,1.2
"31",2016-04-20 16:00:00,2016-04-20,1.1
"32",2016-04-20 17:00:00,2016-04-20,1.155
"33",2016-04-20 18:00:00,2016-04-20,1.315
"34",2016-04-20 19:00:00,NA,NA
"35",2016-04-20 20:00:00,2016-04-20,2.01
"36",2016-04-20 21:00:00,2016-04-20,2.185
"37",2016-04-20 22:00:00,2016-04-20,2.34
"38",2016-04-20 23:00:00,2016-04-20,2.355
"39",2016-04-21 00:00:00,2016-04-21,2.2
"40",2016-04-21 01:00:00,NA,NA
"41",2016-04-21 02:00:00,2016-04-21,1.3
"42",2016-04-21 03:00:00,2016-04-21,1.125
"43",2016-04-21 04:00:00,2016-04-21,0.89
"44",2016-04-21 05:00:00,2016-04-21,0.825
"45",2016-04-21 06:00:00,2016-04-21,0.945
"46",2016-04-21 07:00:00,2016-04-21,1.08
"47",2016-04-21 08:00:00,NA,NA
"48",2016-04-21 09:00:00,2016-04-21,1.8
"49",2016-04-21 10:00:00,2016-04-21,2
"50",2016-04-21 11:00:00,2016-04-21,2.14
"51",2016-04-21 12:00:00,2016-04-21,2.105
"52",2016-04-21 13:00:00,2016-04-21,1.96
"53",2016-04-21 14:00:00,NA,NA
"54",2016-04-21 15:00:00,2016-04-21,1.31
"55",2016-04-21 16:00:00,2016-04-21,1.215
"56",2016-04-21 17:00:00,2016-04-21,1.19
"57",2016-04-21 18:00:00,2016-04-21,1.3
"58",2016-04-21 19:00:00,NA,NA
"59",2016-04-21 20:00:00,2016-04-21,1.98
"60",2016-04-21 21:00:00,2016-04-21,2.11
"61",2016-04-21 22:00:00,2016-04-21,2.32
"62",2016-04-21 23:00:00,2016-04-21,2.39
"63",2016-04-22 00:00:00,2016-04-22,2.295
