"","Datetime","Date","pH"
"1",2016-04-19 10:00:00,2016-04-19,8
"2",2016-04-19 11:00:00,2016-04-19,8.15
"3",2016-04-19 12:00:00,2016-04-19,8.2
"4",2016-04-19 13:00:00,2016-04-19,8.3
"5",2016-04-19 14:00:00,2016-04-19,8.3
"6",2016-04-19 15:00:00,2016-04-19,8.4
"7",2016-04-19 16:00:00,2016-04-19,8.3
"8",2016-04-19 17:00:00,2016-04-19,8.2
"9",2016-04-19 18:00:00,2016-04-19,8.2
"10",2016-04-19 19:00:00,NA,NA
"11",2016-04-19 20:00:00,NA,NA
"12",2016-04-19 21:00:00,NA,NA
"13",2016-04-19 22:00:00,NA,NA
"14",2016-04-19 23:00:00,NA,NA
"15",2016-04-20 00:00:00,2016-04-20,8
"16",2016-04-20 01:00:00,2016-04-20,8
"17",2016-04-20 02:00:00,2016-04-20,8.1
"18",2016-04-20 03:00:00,2016-04-20,8.1
"19",2016-04-20 04:00:00,2016-04-20,8.1
"20",2016-04-20 05:00:00,2016-04-20,8.1
"21",2016-04-20 06:00:00,2016-04-20,8
"22",2016-04-20 07:00:00,2016-04-20,8.05
"23",2016-04-20 08:00:00,2016-04-20,8.1
"24",2016-04-20 09:00:00,2016-04-20,8
"25",2016-04-20 10:00:00,2016-04-20,8
"26",2016-04-20 11:00:00,2016-04-20,8.1
"27",2016-04-20 12:00:00,2016-04-20,8
"28",2016-04-20 13:00:00,2016-04-20,8.05
"29",2016-04-20 14:00:00,2016-04-20,8.2
"30",2016-04-20 15:00:00,2016-04-20,8.2
"31",2016-04-20 16:00:00,2016-04-20,8.2
"32",2016-04-20 17:00:00,NA,NA
"33",2016-04-20 18:00:00,2016-04-20,8.05
"34",2016-04-20 19:00:00,2016-04-20,8.1
"35",2016-04-20 20:00:00,2016-04-20,8.1
"36",2016-04-20 21:00:00,2016-04-20,8
"37",2016-04-20 22:00:00,2016-04-20,8
"38",2016-04-20 23:00:00,2016-04-20,7.9
"39",2016-04-21 00:00:00,2016-04-21,7.9
"40",2016-04-21 01:00:00,2016-04-21,7.9
"41",2016-04-21 02:00:00,2016-04-21,7.9
"42",2016-04-21 03:00:00,2016-04-21,7.9
"43",2016-04-21 04:00:00,2016-04-21,8
"44",2016-04-21 05:00:00,2016-04-21,7.9
"45",2016-04-21 06:00:00,2016-04-21,7.85
"46",2016-04-21 07:00:00,2016-04-21,7.9
"47",2016-04-21 08:00:00,2016-04-21,7.9
