"","Datetime","Date","Sal"
"1",2016-04-19 10:00:00,2016-04-19,27
"2",2016-04-19 11:00:00,2016-04-19,26.9
"3",2016-04-19 12:00:00,2016-04-19,26.8
"4",2016-04-19 13:00:00,2016-04-19,26.55
"5",2016-04-19 14:00:00,2016-04-19,26.45
"6",2016-04-19 15:00:00,NA,NA
"7",2016-04-19 16:00:00,2016-04-19,26.5
"8",2016-04-19 17:00:00,2016-04-19,26.5
"9",2016-04-19 18:00:00,2016-04-19,26.5
"10",2016-04-19 19:00:00,NA,NA
"11",2016-04-19 20:00:00,2016-04-19,27.2
"12",2016-04-19 21:00:00,NA,NA
"13",2016-04-19 22:00:00,NA,NA
"14",2016-04-19 23:00:00,NA,NA
"15",2016-04-20 00:00:00,2016-04-20,27.1
"16",2016-04-20 01:00:00,NA,NA
"17",2016-04-20 02:00:00,2016-04-20,26.8
"18",2016-04-20 03:00:00,2016-04-20,26.75
"19",2016-04-20 04:00:00,2016-04-20,26.7
"20",2016-04-20 05:00:00,2016-04-20,26.65
"21",2016-04-20 06:00:00,2016-04-20,26.7
"22",2016-04-20 07:00:00,2016-04-20,26.7
"23",2016-04-20 08:00:00,2016-04-20,26.7
"24",2016-04-20 09:00:00,NA,NA
"25",2016-04-20 10:00:00,2016-04-20,27.4
"26",2016-04-20 11:00:00,2016-04-20,27.4
"27",2016-04-20 12:00:00,2016-04-20,27.4
"28",2016-04-20 13:00:00,NA,NA
"29",2016-04-20 14:00:00,2016-04-20,26.9
"30",2016-04-20 15:00:00,2016-04-20,26.8
"31",2016-04-20 16:00:00,2016-04-20,26.8
"32",2016-04-20 17:00:00,2016-04-20,26.8
"33",2016-04-20 18:00:00,2016-04-20,26.8
"34",2016-04-20 19:00:00,2016-04-20,26.9
"35",2016-04-20 20:00:00,2016-04-20,26.9
"36",2016-04-20 21:00:00,NA,NA
"37",2016-04-20 22:00:00,2016-04-20,28.5
"38",2016-04-20 23:00:00,2016-04-20,28.6
"39",2016-04-21 00:00:00,2016-04-21,28.6
"40",2016-04-21 01:00:00,NA,NA
"41",2016-04-21 02:00:00,2016-04-21,28.2
"42",2016-04-21 03:00:00,2016-04-21,27.6
"43",2016-04-21 04:00:00,2016-04-21,27.35
"44",2016-04-21 05:00:00,2016-04-21,27.3
"45",2016-04-21 06:00:00,2016-04-21,27.35
"46",2016-04-21 07:00:00,2016-04-21,27.4
"47",2016-04-21 08:00:00,2016-04-21,27.5
"48",2016-04-21 09:00:00,2016-04-21,27.5
"49",2016-04-21 10:00:00,2016-04-21,28.1
"50",2016-04-21 11:00:00,2016-04-21,28.25
"51",2016-04-21 12:00:00,2016-04-21,28.25
"52",2016-04-21 13:00:00,2016-04-21,28.15
"53",2016-04-21 14:00:00,NA,NA
"54",2016-04-21 15:00:00,2016-04-21,27.5
"55",2016-04-21 16:00:00,2016-04-21,27.2
"56",2016-04-21 17:00:00,2016-04-21,27.2
"57",2016-04-21 18:00:00,2016-04-21,27.4
"58",2016-04-21 19:00:00,NA,NA
"59",2016-04-21 20:00:00,2016-04-21,27.8
"60",2016-04-21 21:00:00,2016-04-21,28.15
"61",2016-04-21 22:00:00,NA,NA
"62",2016-04-21 23:00:00,2016-04-21,28.7
"63",2016-04-22 00:00:00,2016-04-22,28.6
"64",2016-04-22 01:00:00,2016-04-22,28.2
"65",2016-04-22 02:00:00,2016-04-22,27.4
"66",2016-04-22 03:00:00,2016-04-22,27.3
"67",2016-04-22 04:00:00,2016-04-22,27.1
"68",2016-04-22 05:00:00,2016-04-22,27.1
"69",2016-04-22 06:00:00,2016-04-22,27
"70",2016-04-22 07:00:00,2016-04-22,27
"71",2016-04-22 08:00:00,2016-04-22,27.1
"72",2016-04-22 09:00:00,2016-04-22,27.5
"73",2016-04-22 10:00:00,2016-04-22,27.75
"74",2016-04-22 11:00:00,2016-04-22,28
"75",2016-04-22 12:00:00,2016-04-22,28.5
"76",2016-04-22 13:00:00,2016-04-22,28.15
"77",2016-04-22 14:00:00,2016-04-22,27.75
"78",2016-04-22 15:00:00,2016-04-22,27.65
"79",2016-04-22 16:00:00,2016-04-22,27.5
