Station.Code,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,pH,F_pH,Turb,F_Turb
sfbrbwq,1/1/20 0:00, ,11.9,0,43.77,0,28.2,0,87.3,0,7.9,0,1.43,0,7.9,0,12,0
sfbrbwq,1/1/20 0:15, ,11.9,0,43.68,0,28.1,0,87,0,7.9,0,1.48,0,7.9,0,12,0
sfbrbwq,1/1/20 0:30, ,11.9,0,43.65,0,28.1,0,87.1,0,7.9,0,1.54,0,7.9,0,11,0
sfbrbwq,1/1/20 0:45, ,11.9,0,43.63,0,28.1,0,86.7,0,7.9,0,1.57,0,7.9,0,12,0
sfbrbwq,1/1/20 1:00, ,11.8,0,43.51,0,28,0,87.8,0,8,0,1.67,0,7.9,0,12,0
sfbrbwq,1/1/20 1:15, ,11.7,0,43.34,0,27.9,0,87.6,0,8,0,1.78,0,7.9,0,12,0
sfbrbwq,1/1/20 1:30, ,11.7,0,43.31,0,27.8,0,87.6,0,8,0,1.82,0,7.9,0,11,0
sfbrbwq,1/1/20 1:45, ,11.7,0,43.29,0,27.8,0,87.3,0,8,0,1.88,0,7.9,0,10,0
sfbrbwq,1/1/20 2:00, ,11.8,0,43.81,0,28.2,0,88.6,0,8,0,1.97,0,7.9,0,6,0
sfbrbwq,1/1/20 2:15, ,11.8,0,43.88,0,28.2,0,89.7,0,8.1,0,2.03,0,7.9,0,6,0
sfbrbwq,1/1/20 2:30, ,11.8,0,43.83,0,28.2,0,89,0,8.1,0,2,0,7.9,0,7,0
sfbrbwq,1/1/20 2:45, ,11.8,0,43.86,0,28.2,0,89.8,0,8.1,0,2.06,0,7.9,0,5,0
sfbrbwq,1/1/20 3:00, ,11.8,0,43.75,0,28.2,0,90.5,0,8.2,0,2.16,0,7.9,0,5,0
sfbrbwq,1/1/20 3:15, ,11.8,0,43.83,0,28.2,0,90.4,0,8.2,0,2.2,0,7.9,0,5,0
sfbrbwq,1/1/20 3:30, ,11.8,0,43.79,0,28.2,0,90,0,8.2,0,2.2,0,7.9,0,5,0
sfbrbwq,1/1/20 3:45, ,11.8,0,43.76,0,28.2,0,90.5,0,8.2,0,2.24,0,7.9,0,5,0
sfbrbwq,1/1/20 4:00, ,11.8,0,43.72,0,28.1,0,90.9,0,8.3,0,2.27,0,7.9,0,4,0
sfbrbwq,1/1/20 4:15, ,11.8,0,43.75,0,28.2,0,90.1,0,8.2,0,2.32,0,7.9,0,5,0
sfbrbwq,1/1/20 4:30, ,11.8,0,43.79,0,28.2,0,89.3,0,8.1,0,2.34,0,7.9,0,5,0
sfbrbwq,1/1/20 4:45, ,11.8,0,43.77,0,28.2,0,89.1,0,8.1,0,2.32,0,7.9,0,4,0
