Date,Salinity_psu,TALK_mEq/L,TALK_umol/Kg,Measured-calculated
8-May,-0.01,0.992,967.635,-0.166
16-Oct,-0.01,1.13,1102.245,-0.326
24-Jan,0,1.042,1016.407,0.041
18-Jun,0,1.029,1003.726,-0.188
2-Jul,0,0.941,917.888,-0.207
17-Jul,0,1.06,1033.965,-0.046
5-Aug,0,1.085,1058.351,0.013
29-Oct,0,1.207,1177.354,-0.167
9-Apr,0.01,1.269,1237.831,0.025
22-May,0.01,1.199,1169.551,0.097
19-Aug,0.01,1.379,1345.13,0.267
13-Nov,0.01,1.133,1105.172,-0.195
17-Dec,0.01,1.288,1256.365,0.073
6-Feb,0.02,1.339,1306.112,0.136
8-May,0.02,0.945,921.789,0.215
16-Oct,0.02,1.203,1173.452,-0.254
29-Oct,0.02,1.153,1124.681,-0.141
17-Dec,0.02,1.113,1085.663,-0.102
9-Jan,0.03,1.401,1366.589,0.145
19-Mar,0.03,1.27,1238.807,0.016
19-Mar,0.03,1.546,1508.028,0.292
9-Apr,0.03,1.092,1065.179,-0.153
22-May,0.03,1.102,1074.933,-0.001
5-Jun,0.03,1.42,1385.123,0.233
17-Sep,0.03,1.632,1591.916,0.317
5-Jun,0.04,1.227,1196.863,0.04
9-Jan,0.05,1.173,1144.189,-0.084
6-Feb,0.06,1.231,1200.765,0.027
10-Feb,0.06,1.234,1203.691,-0.053
9-Apr,0.07,1.223,1192.961,-0.023
4-Sep,0.07,1.511,1473.888,0.29
17-Sep,0.07,1.541,1503.151,0.225
17-Jul,0.08,0.981,956.905,-0.128
13-Nov,0.08,1.197,1167.6,-0.133
6-Feb,0.09,1.199,1169.551,-0.006
18-Jun,0.1,1.197,1167.6,-0.023
4-Sep,0.13,1.394,1359.761,0.17
19-Aug,0.14,1.14,1112,0.023
5-Jun,0.15,1.079,1052.498,-0.111
17-Jul,0.16,1.02,994.947,-0.092
23-Apr,0.22,1.207,1177.354,-0.022
10-Feb,0.23,1.168,1139.312,-0.019
9-Jan,0.28,1.233,1202.716,-0.032
5-Jun,0.29,1.186,1156.87,-0.009
8-May,0.32,1.128,1100.295,-0.043
18-Jun,0.45,1.268,1236.856,0.036
22-May,0.46,1.107,1079.81,-0.012
5-Aug,0.47,1.068,1041.768,-0.022
19-Mar,0.54,1.273,1241.733,0.003
2-Jul,0.54,1.119,1091.516,0.002
10-Feb,0.56,1.174,1145.165,-0.024
8-May,0.68,1.134,1106.147,-0.049
5-Jun,0.78,1.21,1180.281,-0.001
9-Jan,0.8,1.285,1253.438,0.002
16-Oct,0.84,1.407,1372.442,-0.07
29-Oct,0.9,1.289,1257.34,-0.11
17-Sep,1.17,1.475,1438.772,0.126
18-Jun,1.22,1.3,1268.07,0.043
13-Nov,1.28,1.295,1263.193,-0.071
17-Jul,1.3,1.085,1058.351,-0.069
16-Oct,1.95,1.465,1429.017,-0.039
17-Dec,2,1.245,1214.421,-0.036
29-Oct,2.16,1.361,1327.572,-0.073
19-Aug,2.23,1.182,1152.968,-0.01
17-Sep,2.29,1.48,1443.649,0.098
6-Feb,2.37,1.289,1257.34,0.01
10-Feb,2.62,1.252,1221.249,-0.014
23-Apr,2.64,1.316,1283.677,0.008
4-Sep,2.68,1.341,1308.063,0.034
24-Jan,2.72,1.1,1072.982,-0.006
17-Jul,2.84,1.176,1147.116,-0.035
16-Oct,2.92,1.509,1471.937,-0.018
17-Dec,3.15,1.319,1286.603,0
9-Apr,3.2,1.317,1284.652,-0.029
4-Sep,3.21,1.347,1313.916,0.023
17-Jul,3.26,1.194,1164.674,-0.032
16-Oct,3.32,1.537,1499.249,0
17-Dec,3.35,1.333,1300.259,0.007
9-Jan,3.38,1.389,1354.884,0.016
22-May,3.45,1.218,1188.084,0.011
5-Jun,3.53,1.296,1264.168,-0.008
2-Jul,3.59,1.28,1248.561,0.005
13-Nov,3.78,1.422,1387.073,-0.018
5-Aug,3.8,1.231,1200.765,0.016
19-Mar,3.82,1.366,1332.449,-0.004
8-May,4.01,1.296,1264.168,-0.003
29-Oct,4.03,1.451,1415.361,-0.034
6-Feb,4.06,1.298,1266.119,-0.035
19-Aug,4.08,1.249,1218.323,-0.01
6-Feb,4.6,1.362,1328.547,0.011
5-Aug,4.63,1.239,1208.568,-0.007
16-Oct,4.93,1.58,1541.193,0.004
4-Sep,5.19,1.385,1350.982,-0.004
17-Jul,5.22,1.31,1277.824,0.012
10-Feb,5.3,1.35,1316.842,-0.006
9-Jan,5.4,1.417,1382.196,-0.027
4-Sep,5.48,1.403,1368.54,0.005
17-Sep,5.6,1.501,1464.133,0.021
17-Dec,5.68,1.401,1366.589,-0.002
9-Apr,6.19,1.452,1416.337,0.011
24-Jan,6.36,1.223,1192.961,-0.002
23-Apr,6.39,1.425,1390,-0.006
18-Jun,6.45,1.426,1390.975,0
29-Oct,6.54,1.547,1509.003,-0.008
16-Oct,6.65,1.627,1587.038,0.009
5-Aug,6.78,1.337,1304.161,0.01
2-Jul,6.88,1.408,1373.417,0.017
13-Nov,6.95,1.511,1473.888,-0.023
29-Oct,6.96,1.563,1524.61,-0.004
19-Aug,7,1.376,1342.203,0.011
10-Feb,7.14,1.419,1384.147,0.002
5-Jun,7.5,1.414,1379.27,-0.024
6-Feb,7.52,1.439,1403.656,-0.006
19-Mar,7.59,1.474,1437.796,-0.012
22-May,7.97,1.381,1347.081,-0.015
17-Dec,8.02,1.481,1444.624,0
17-Sep,8.06,1.572,1533.389,0.019
16-Oct,8.07,1.674,1632.884,0.021
8-May,8.32,1.465,1429.017,0.014
29-Oct,8.36,1.611,1571.431,0.005
24-Jan,8.55,1.327,1294.407,-0.004
4-Sep,8.69,1.481,1444.624,-0.023
5-Jun,8.76,1.477,1440.723,-0.003
18-Jun,8.98,1.504,1467.059,-0.004
17-Sep,9.15,1.589,1549.972,0.004
2-Jul,9.18,1.484,1447.551,0.012
9-Jan,9.22,1.578,1539.242,0.001
10-Feb,9.22,1.494,1457.305,0.008
17-Jul,9.75,1.47,1433.895,0.005
19-Aug,9.81,1.462,1426.091,-0.004
9-Apr,9.9,1.558,1519.733,-0.002
16-Oct,9.9,1.712,1669.951,0.015
13-Nov,9.9,1.63,1589.965,0.009
23-Apr,9.93,1.539,1501.2,-0.008
6-Feb,10.18,1.531,1493.396,0.001
17-Dec,10.71,1.579,1540.217,0.009
24-Jan,10.72,1.42,1385.123,0.004
5-Aug,10.78,1.506,1469.01,0.029
29-Oct,11.04,1.686,1644.589,0.005
9-Apr,11.41,1.622,1582.161,0.014
19-Aug,11.45,1.523,1485.593,-0.002
9-Jan,11.46,1.678,1636.786,0.023
19-Mar,11.52,1.597,1557.775,-0.009
6-Feb,11.54,1.544,1506.077,-0.03
9-Jan,11.74,1.669,1628.007,0.004
17-Dec,11.92,1.619,1579.235,0.009
10-Feb,12.11,1.632,1591.916,0.05
8-May,12.14,1.596,1556.8,0.012
17-Sep,12.2,1.669,1628.007,-0.007
22-May,12.24,1.581,1542.168,0.027
17-Jul,12.34,1.573,1534.365,0.013
4-Sep,12.39,1.603,1563.628,-0.022
23-Apr,12.44,1.644,1603.621,0.014
9-Apr,12.54,1.646,1605.572,0.002
16-Oct,12.66,1.765,1721.649,0.001
18-Jun,12.79,1.659,1618.252,0.027
2-Jul,12.88,1.614,1574.358,0.011
5-Aug,13.02,1.563,1524.61,0.002
5-Jun,13.17,1.623,1583.137,-0.005
13-Nov,13.19,1.723,1680.68,0.005
24-Jan,13.86,1.508,1470.961,-0.029
17-Dec,14.13,1.689,1647.516,0.006
6-Feb,14.14,1.679,1637.761,0.021
17-Jul,14.35,1.628,1588.014,-0.007
10-Feb,14.56,1.7,1658.245,0.037
16-Oct,14.58,1.82,1775.298,0.009
22-May,15.01,1.683,1641.663,0.027
9-Jan,15.05,1.773,1729.452,-0.008
29-Oct,15.18,1.8,1755.789,0.005
2-Jul,15.33,1.702,1660.196,0.012
19-Aug,15.37,1.666,1625.08,-0.001
19-Mar,15.42,1.725,1682.631,-0.001
8-May,15.49,1.723,1680.68,0.021
17-Sep,15.54,1.753,1709.944,-0.021
17-Sep,15.63,1.763,1719.698,-0.014
18-Jun,15.67,1.694,1652.393,-0.031
9-Apr,15.9,1.771,1727.502,0.02
13-Nov,16.03,1.81,1765.544,0.007
8-May,16.1,1.774,1730.428,0.051
5-Jun,16.15,1.727,1684.582,-0.002
29-Oct,16.38,1.861,1815.291,0.032
16-Oct,16.39,1.851,1805.537,-0.004
23-Apr,16.4,1.773,1729.452,0.014
17-Dec,16.49,1.775,1731.403,0.013
