Date,Salinity_psu,TALK_mEq/L,TALK_umol/Kg,Measured-Calculated,Decade
7-May,30.77,2.224,2169.375,-0.013,1980s
7-May,29.82,2.2,2145.965,-0.004,1980s
8-May,31.63,2.247,2191.81,-0.02,1980s
8-May,29.27,2.176,2122.554,-0.008,1980s
8-May,24.31,2.026,1976.238,0.015,1980s
8-May,27,2.088,2036.716,-0.017,1980s
8-May,22.18,1.956,1907.958,0.02,1980s
8-May,17.7,1.802,1757.74,0.023,1980s
8-May,15.49,1.723,1680.68,0.021,1980s
8-May,12.14,1.596,1556.8,0.012,1980s
8-May,8.32,1.465,1429.017,0.014,1980s
8-May,4.01,1.296,1264.168,-0.003,1980s
8-May,0.32,1.128,1100.295,-0.043,1980s
8-May,-0.01,0.992,967.635,-0.166,1980s
8-May,16.1,1.774,1730.428,0.051,1980s
8-May,0.68,1.134,1106.147,-0.049,1980s
8-May,0.02,0.945,921.789,0.215,1980s
22-May,31.38,2.255,2199.614,-0.006,1980s
22-May,31.05,2.241,2185.958,-0.008,1980s
22-May,29.91,2.191,2137.186,-0.015,1980s
22-May,26.96,2.098,2046.47,0.001,1980s
22-May,24.72,2.017,1967.459,0.002,1980s
22-May,23.29,1.97,1921.614,0.008,1980s
22-May,17.33,1.746,1703.116,0.004,1980s
22-May,15.01,1.683,1641.663,0.027,1980s
22-May,12.24,1.581,1542.168,0.027,1980s
22-May,7.97,1.381,1347.081,-0.015,1980s
22-May,3.45,1.218,1188.084,0.011,1980s
22-May,0.46,1.107,1079.81,-0.012,1980s
22-May,0.03,1.102,1074.933,-0.001,1980s
22-May,0.01,1.199,1169.551,0.097,1980s
4-Jun,31.3,2.219,2164.498,-0.019,1980s
4-Jun,29.6,2.192,2138.161,0.012,1980s
5-Jun,31.25,2.257,2201.565,0.021,1980s
5-Jun,30.79,2.215,2160.596,-0.007,1980s
5-Jun,27.06,2.096,2044.519,0.001,1980s
5-Jun,23.98,1.997,1947.951,0.005,1980s
5-Jun,21.51,1.91,1863.087,0.001,1980s
5-Jun,16.15,1.727,1684.582,-0.002,1980s
5-Jun,16.72,1.743,1700.189,-0.005,1980s
5-Jun,13.17,1.623,1583.137,-0.005,1980s
5-Jun,8.76,1.477,1440.723,-0.003,1980s
5-Jun,7.5,1.414,1379.27,-0.024,1980s
5-Jun,3.53,1.296,1264.168,-0.008,1980s
5-Jun,0.29,1.186,1156.87,-0.009,1980s
5-Jun,0.04,1.227,1196.863,0.04,1980s
5-Jun,0.03,1.42,1385.123,0.233,1980s
5-Jun,0.78,1.21,1180.281,-0.001,1980s
5-Jun,16.85,1.743,1700.189,-0.009,1980s
5-Jun,0.15,1.079,1052.498,-0.111,1980s
