Date,Salinity_psu,TALK_mEq/L,TALK_umol/Kg,Measured-Calculated,Decade
,3.9,,1515.57,,2020s
,3.9,,1461.9,,2020s
,4.47,,1593.868,,2020s
,4.47,,1587.015,,2020s
,5.6,,1491.56,,2020s
,5.6,,1667.636,,2020s
,8.83,,1643.054,,2020s
,8.83,,1655.739,,2020s
,8.61,,1566.764,,2020s
,8.61,,1578.362,,2020s
,8.76,,1587.08,,2020s
,16.11,,1861.126,,2020s
,16.11,,1875.972,,2020s
,14.85,,1700.884,,2020s
,14.85,,1647.738,,2020s
,14.75,,1774.571,,2020s
,15.49,,1810.029,,2020s
,19.94,,1869.17,,2020s
,20.69,,1801.83,,2020s
,22.22,,1700.159,,2020s
,24.2,,2029.895,,2020s
,24.2,,1972.201,,2020s
,27.8,,2169.207,,2020s
,27.8,,2236.143,,2020s
,28.11,,2112.507,,2020s
,28.11,,2065.281,,2020s
,28.84,,2147.057,,2020s
,28.84,,2171.551,,2020s
,29.45,,2136.7,,2020s
,29.45,,2252.323,,2020s
,30.15,,2165.619,,2020s
,30.15,,2236.079,,2020s
8-Jan,30.9,2.336,2278.624,0.002,1980s
9-Jan,29.92,2.3,2243.508,0.001,1980s
9-Jan,27.04,2.181,2127.431,-0.018,1980s
9-Jan,24.26,2.102,2050.372,0,1980s
9-Jan,15.05,1.773,1729.452,-0.008,1980s
9-Jan,18.75,1.923,1875.768,0.013,1980s
9-Jan,22.59,2.06,2009.403,0.016,1980s
9-Jan,11.74,1.669,1628.007,0.004,1980s
9-Jan,9.22,1.578,1539.242,0.001,1980s
9-Jan,5.4,1.417,1382.196,-0.027,1980s
9-Jan,3.38,1.389,1354.884,0.016,1980s
9-Jan,0.8,1.285,1253.438,0.002,1980s
9-Jan,0.05,1.173,1144.189,-0.084,1980s
9-Jan,0.03,1.401,1366.589,0.145,1980s
9-Jan,11.46,1.678,1636.786,0.023,1980s
9-Jan,0.28,1.233,1202.716,-0.032,1980s
23-Jan,24.54,1.959,1910.884,0.009,1980s
23-Jan,22.02,1.85,1804.561,-0.002,1980s
23-Jan,23.93,1.945,1897.228,0.019,1980s
23-Jan,28.7,2.112,2060.126,0.002,1980s
23-Jan,26.17,2.022,1972.337,0.01,1980s
24-Jan,16.96,1.643,1602.645,-0.014,1980s
24-Jan,27.46,2.058,2007.452,-0.005,1980s
24-Jan,10.72,1.42,1385.123,0.004,1980s
24-Jan,8.55,1.327,1294.407,-0.004,1980s
24-Jan,6.36,1.223,1192.961,-0.002,1980s
24-Jan,0,1.042,1016.407,0.041,1980s
24-Jan,2.72,1.1,1072.982,-0.006,1980s
24-Jan,13.86,1.508,1470.961,-0.029,1980s
12-Nov,32.21,2.252,2196.687,-0.033,1980s
12-Nov,31.85,2.236,2181.08,-0.035,1980s
13-Nov,30.76,2.221,2166.449,-0.018,1980s
13-Nov,28.24,2.175,2121.579,0.011,1980s
13-Nov,25.41,2.099,2047.445,0.018,1980s
13-Nov,24.84,2.07,2019.158,0.006,1980s
13-Nov,22.46,2.002,1952.828,0.009,1980s
13-Nov,17.14,1.858,1812.365,0.022,1980s
13-Nov,20.13,1.931,1883.572,0.007,1980s
13-Nov,16.03,1.81,1765.544,0.007,1980s
13-Nov,13.19,1.723,1680.68,0.005,1980s
13-Nov,6.95,1.511,1473.888,-0.023,1980s
13-Nov,1.28,1.295,1263.193,-0.071,1980s
13-Nov,0.01,1.133,1105.172,-0.195,1980s
13-Nov,0.08,1.197,1167.6,-0.133,1980s
13-Nov,9.9,1.63,1589.965,0.009,1980s
13-Nov,3.78,1.422,1387.073,-0.018,1980s
16-Dec,31.02,2.228,2173.277,-0.017,1980s
16-Dec,30.85,2.209,2154.744,-0.03,1980s
17-Dec,28.37,2.144,2091.34,-0.013,1980s
17-Dec,30.85,2.226,2171.326,-0.013,1980s
17-Dec,26.96,2.126,2073.782,0.016,1980s
17-Dec,24.57,2.074,2023.059,0.044,1980s
17-Dec,19.42,1.868,1822.119,0.009,1980s
17-Dec,21.38,1.925,1877.719,0.001,1980s
17-Dec,20.05,1.883,1836.751,0.003,1980s
17-Dec,11.92,1.619,1579.235,0.009,1980s
17-Dec,5.68,1.401,1366.589,-0.002,1980s
17-Dec,2,1.245,1214.421,-0.036,1980s
17-Dec,0.01,1.288,1256.365,0.073,1980s
17-Dec,0.02,1.113,1085.663,-0.102,1980s
17-Dec,19.08,1.862,1816.266,0.014,1980s
17-Dec,3.35,1.333,1300.259,0.007,1980s
17-Dec,16.49,1.775,1731.403,0.013,1980s
17-Dec,14.13,1.689,1647.516,0.006,1980s
17-Dec,10.71,1.579,1540.217,0.009,1980s
17-Dec,8.02,1.481,1444.624,0,1980s
17-Dec,3.15,1.319,1286.603,0,1980s
