"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",62.478,-58.5,33.494,70,0.099977,1238,1.5475,0,202,24,1.5475,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.05,204.7,23.9,1.5975,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.1,209.7,23.8,1.6475,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.15,212.9,23.7,1.6975,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.2,215.8,23.5,1.7475,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.25,218.6,23.4,1.7975,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.3,220.5,23.3,1.8475,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.35,223.5,23.1,1.8975,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.4,224.6,23,1.9475,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.45,226.9,22.8,1.9975,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.5,228.8,22.7,2.0475,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.55,230.4,22.6,2.0975,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.4,22.4,2.1475,2124.33418022501,0.403780656318611
NA,NA,NA,NA,NA,NA,NA,NA,0.65,234,22.4,2.1975,2124.33418022501,0.403780656318611
