"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",61.175,-62.6,20.69,69,0.099977,1062,1.3275,0,201.7,22.7,1.3275,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.2,22.6,1.3775,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210.2,22.4,1.4275,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.6,22.3,1.4775,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.7,22.2,1.5275,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.3,22.1,1.5775,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221.9,22.1,1.6275,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.35,223.9,22,1.6775,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.4,226,22,1.7275,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.45,228,22,1.7775,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.5,229.8,22,1.8275,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231.5,22,1.8775,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.9,22,1.9275,1801.82966478655,0.401709813407814
NA,NA,NA,NA,NA,NA,NA,NA,0.65,234.3,22,1.9775,1801.82966478655,0.401709813407814
