"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",63.127,-67.4,19.94,68,0.099977,1138,1.4225,0,202.3,23,1.4225,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.8,23,1.4725,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210.5,22.9,1.5225,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.8,22.8,1.5725,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.8,22.8,1.6225,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.4,22.8,1.6725,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221.7,22.7,1.7225,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.35,224,22.7,1.7725,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.4,226,22.6,1.8225,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227.8,22.5,1.8725,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.5,229.4,22.5,1.9225,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231,22.4,1.9725,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.6,22.4,2.0225,1869.17009355061,0.402336397245502
NA,NA,NA,NA,NA,NA,NA,NA,0.65,234,22.3,2.0725,1869.17009355061,0.402336397245502
