"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",61.635,-70.7,14.85,68,0.099977,1021,1.27625,0,202.3,23.7,1.27625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.8,23.7,1.32625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210.7,23.6,1.37625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.15,214.2,23.6,1.42625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.2,217.2,23.5,1.47625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.25,220,23.4,1.52625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.3,222.4,23.4,1.57625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.35,224.7,23.3,1.62625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.4,226.7,23.3,1.67625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.45,228.6,23.2,1.72625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.5,230.4,23.2,1.77625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.55,232,23.2,1.82625,1700.8843768919,0.403366285220162
NA,NA,NA,NA,NA,NA,NA,NA,0.6,233.5,23.1,1.87625,1700.8843768919,0.403366285220162
