"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",65.551,-60.4,15.49,68,0.099977,1137,1.42125,0,202.3,23.2,1.42125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.5,23.2,1.47125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.1,209.6,23.1,1.52125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.15,211.8,23.1,1.57125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.2,215,23.1,1.62125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.25,217.8,23.1,1.67125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.3,220.3,23.1,1.72125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.35,222.5,23.1,1.77125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.4,224.6,23,1.82125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.45,226.5,23,1.87125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.5,228.3,23,1.92125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.55,230,23,1.97125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.6,231.5,23,2.02125,1810.02921157048,0.401437978015719
NA,NA,NA,NA,NA,NA,NA,NA,0.65,233.1,23,2.07125,1810.02921157048,0.401437978015719
