"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",61.748,-61.1,5.6,68,0.099977,970,1.2125,0,202.2,23.3,1.2125,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.7,23.2,1.2625,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210.5,23.1,1.3125,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.15,214.1,23.1,1.3625,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.2,217.2,23.1,1.4125,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.8,23,1.4625,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.3,222.3,23,1.5125,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.35,226.6,22.9,1.5625,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.4,228.5,22.8,1.6125,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.45,230.3,22.8,1.6625,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.5,232,22.8,1.7125,1667.63588249027,0.40606128205263
NA,NA,NA,NA,NA,NA,NA,NA,0.55,233.6,22.7,1.7625,1667.63588249027,0.40606128205263
