"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl P1","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","P1P2vHCl","Digits of NaOH","vNaOH","Digits of HCl P3","P3HCl","P4HCl Additions","P4mV","P4Temp","corr_vHCl2","B","Si","P","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a OALK titration by hand to fill in the GREEN boxes. DO NOT TOUCH RED BOXES",62.499,-106.2,30.0362,68,0.099977,808,1.01,0,200.6,24.1,1.01,"1.6099999999999999",191,0.23875,380,0.475,0,201.9,22.4,0.475,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.05,205.1,24,1.06,"*last corr_vHCl value",-103.1,NA,NA,NA,0.05,206.4,22.3,0.525,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.1,209.1,23.9,1.11,NA,NA,NA,NA,NA,0.1,210.2,22.3,0.575,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.15,212.7,23.9,1.16,NA,NA,NA,NA,NA,0.15,213.5,22.3,0.625,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.2,215.8,23.8,1.21,NA,NA,NA,NA,NA,0.2,216.5,22.3,0.675,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.25,218.6,23.8,1.26,NA,NA,NA,NA,NA,0.25,219.1,22.2,0.725,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221,23.7,1.31,NA,NA,NA,NA,NA,0.3,221.5,22.2,0.775,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.35,223.4,23.7,1.36,NA,NA,NA,NA,NA,0.35,223.7,22.2,0.825,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.4,225.5,23.6,1.41,NA,NA,NA,NA,NA,0.4,225.7,22.2,0.875,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227.1,23.6,1.46,NA,NA,NA,NA,NA,0.45,227.6,22.2,0.925,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.5,228.9,23.5,1.51,NA,NA,NA,NA,NA,0.5,229.3,22.2,0.975,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.55,230.6,23.5,1.56,NA,NA,NA,NA,NA,0.55,230.9,22.2,1.025,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.2,23.5,1.61,NA,NA,NA,NA,NA,0.6,232.5,22.1,1.075,NA,NA,NA,1253.33212007755,0.402128922204803
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,1.125,NA,NA,NA,1253.33212007755,0.402128922204803
