"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl P1","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","P1P2vHCl","Digits of NaOH","vNaOH","Digits of HCl P3","P3HCl","P4HCl Additions","P4mV","P4Temp","corr_vHCl2","B","Si","P","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a OALK titration by hand to fill in the GREEN boxes. DO NOT TOUCH RED BOXES",63.301,-59.6,33.494,68,0.099977,1254,1.5675,0,200.3,23.1,1.5675,"2.2175000000000002",177,0.22125,245,0.30625,0,200.9,22,0.30625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.05,204.6,23.1,1.6175,"*last corr_vHCl value",-54.9,NA,NA,NA,0.05,205.3,22,0.35625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.1,208.3,23,1.6675,NA,NA,NA,NA,NA,0.1,209.3,22,0.40625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.15,211.5,22.9,1.7175,NA,NA,NA,NA,NA,0.15,212.6,21.9,0.45625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.2,214.6,22.9,1.7675,NA,NA,NA,NA,NA,0.2,215.6,21.9,0.50625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.25,217,22.9,1.8175,NA,NA,NA,NA,NA,0.25,218.1,21.9,0.55625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.3,219.7,22.8,1.8675,NA,NA,NA,NA,NA,0.3,220.5,21.9,0.60625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.35,211.8,22.8,1.9175,NA,NA,NA,NA,NA,0.35,222.6,21.9,0.65625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.4,224,22.7,1.9675,NA,NA,NA,NA,NA,0.4,224.6,21.8,0.70625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.45,225.9,22.7,2.0175,NA,NA,NA,NA,NA,0.45,226.4,21.8,0.75625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.5,227.7,22.6,2.0675,NA,NA,NA,NA,NA,0.5,228.1,21.8,0.80625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.55,229.4,22.6,2.1175,NA,NA,NA,NA,NA,0.55,229.6,21.8,0.85625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.6,231,22.5,2.1675,NA,NA,NA,NA,NA,0.6,231.2,21.8,0.90625,NA,NA,NA,2188.88127820218,0.399349913661417
NA,NA,NA,NA,NA,NA,NA,NA,0.65,232.5,22.5,2.2175,NA,NA,NA,NA,NA,0.65,232.6,21.8,0.95625,NA,NA,NA,2188.88127820218,0.399349913661417
