"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl P1","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","P1P2vHCl","Digits of NaOH","vNaOH","Digits of HCl P3","P3HCl","P4HCl Additions","P4mV","P4Temp","corr_vHCl2","B","Si","P","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a OALK titration by hand to fill in the GREEN boxes. DO NOT TOUCH RED BOXES",62.045,-54,27.67713,69,0.099977,1302,1.6275,0,201.9,23.4,1.6275,"2.2774999999999999",182,0.2275,257,0.32125,0,201.2,22.3,0.32125,NA,0.149653762,0.074826881,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.1,23.4,1.6775,"*last corr_vHCl value",-54.3,NA,NA,NA,0.05,205.6,22.3,0.37125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.1,209.8,23.3,1.7275,NA,NA,NA,NA,NA,0.1,209.1,22.3,0.42125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.1,23.2,1.7775,NA,NA,NA,NA,NA,0.15,212.3,22.2,0.47125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216,23.2,1.8275,NA,NA,NA,NA,NA,0.2,215.2,22.2,0.52125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.25,218.7,23.1,1.8775,NA,NA,NA,NA,NA,0.25,217.8,22.2,0.57125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221.1,23,1.9275,NA,NA,NA,NA,NA,0.3,220.3,22.2,0.62125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.35,223.1,23,1.9775,NA,NA,NA,NA,NA,0.35,222.4,22.1,0.67125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.4,225.2,22.9,2.0275,NA,NA,NA,NA,NA,0.4,224.5,22.1,0.72125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227.1,22.9,2.0775,NA,NA,NA,NA,NA,0.45,226.5,22.1,0.77125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.5,228.9,22.9,2.1275,NA,NA,NA,NA,NA,0.5,228.1,22.1,0.82125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.55,230.6,22.8,2.1775,NA,NA,NA,NA,NA,0.55,229.7,22.1,0.87125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.1,22.8,2.2275,NA,NA,NA,NA,NA,0.6,231.2,22.1,0.92125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.65,233.5,22.7,2.2775,NA,NA,NA,NA,NA,0.65,232.6,22.1,0.97125,NA,NA,NA,1881.26450734842,0.386265046395073
NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,2.3275,NA,NA,NA,NA,NA,0.7,234,22,1.02125,NA,NA,NA,1881.26450734842,0.386265046395073
