Instructions:,m0,Initial pH,Salinity,TempLab,conc_HCl,Digits of HCl P1,P1HCl,P2HCl Additions,P2mV,P2Temp,corr_vHCl,P1P2vHCl,Digits of NaOH,vNaOH,Digits of HCl P3,P3HCl,P4HCl Additions,P4mV,P4Temp,corr_vHCl2,B,Si,P,TA,E0
"Use the ""Alkalinity Analysis Log"" and the data obtained during a OALK titration by hand to fill in the GREEN boxes. DO NOT TOUCH RED BOXES",63.224,-60.5,27.57492,68,0.099977,1302,1.6275,0,202.4,23.7,1.6275,2.2275,171,0.21375,232,0.29,0,200.5,22.8,0.29,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.4,23.6,1.6775,*last corr_vHCl value,-77.5,NA,20 digits to -54.4,NA,0.05,205.3,22.8,0.34,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210.2,23.5,1.7275,NA,NA,NA,NA,NA,0.1,208.7,22.8,0.39,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.6,23.5,1.7775,NA,NA,NA,NA,NA,0.15,212.4,22.8,0.44,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.7,23.4,1.8275,NA,NA,NA,NA,NA,0.2,215.5,22.7,0.49,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.3,23.4,1.8775,NA,NA,NA,NA,NA,0.25,218.2,22.7,0.54,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221.8,23.4,1.9275,NA,NA,NA,NA,NA,0.3,220.3,22.7,0.59,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.35,224.1,23.3,1.9775,NA,NA,NA,NA,NA,0.35,222.8,22.7,0.64,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.4,226.1,23.3,2.0275,NA,NA,NA,NA,NA,0.4,225,22.7,0.69,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.45,228,23.2,2.0775,NA,NA,NA,NA,NA,0.45,226.9,22.7,0.74,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.5,229.7,23.2,2.1275,NA,NA,NA,NA,NA,0.5,228.7,22.7,0.79,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231.4,23.2,2.1775,NA,NA,NA,NA,NA,0.55,230.2,22.7,0.84,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.9,23.1,2.2275,NA,NA,NA,NA,NA,0.6,231.9,22.7,0.89,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,2.2775,NA,NA,NA,NA,NA,0.65,233.3,22.7,0.94,NA,NA,NA,1835.678517,0.38699959
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,0.99,NA,NA,NA,1835.678517,0.38699959
