"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl P1","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","P1P2vHCl","Digits of NaOH","vNaOH","Digits of HCl P3","P3HCl","P4HCl Additions","P4mV","P4Temp","corr_vHCl2","B","Si","P","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a OALK titration by hand to fill in the GREEN boxes. DO NOT TOUCH RED BOXES",61.402,-58,33.494,70,0.099977,1201,1.50125,0,199.4,23.6,1.50125,"2.1012499999999998",152,0.19,222,0.2775,0,202.4,22.4,0.2775,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.05,203.7,23.6,1.55125,"*last corr_vHCl value",-53.7,NA,NA,NA,0.05,207.2,22.4,0.3275,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.1,208.2,23.5,1.60125,NA,NA,NA,NA,NA,0.1,211,22.3,0.3775,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.15,212.3,23.5,1.65125,NA,NA,NA,NA,NA,0.15,214.3,22.3,0.4275,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.2,215.4,23.4,1.70125,NA,NA,NA,NA,NA,0.2,217.4,22.2,0.4775,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.25,218,23.4,1.75125,NA,NA,NA,NA,NA,0.25,220,22.2,0.5275,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.3,220.9,23.4,1.80125,NA,NA,NA,NA,NA,0.3,222.4,22.2,0.5775,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.35,223.3,23.3,1.85125,NA,NA,NA,NA,NA,0.35,224.3,22.1,0.6275,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.4,225.3,23.3,1.90125,NA,NA,NA,NA,NA,0.4,226.5,22.1,0.6775,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227.1,23.3,1.95125,NA,NA,NA,NA,NA,0.45,228.3,22.1,0.7275,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.5,229.2,23.2,2.00125,NA,NA,NA,NA,NA,0.5,230.2,22,0.7775,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231,23.2,2.05125,NA,NA,NA,NA,NA,0.55,232,22,0.8275,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.7,23.1,2.10125,NA,NA,NA,NA,NA,0.6,233.5,21.9,0.8775,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,2.15125,NA,NA,NA,NA,NA,0.65,NA,NA,0.9275,NA,NA,NA,1765.47778157206,0.386389886831215
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,0.9775,NA,NA,NA,1765.47778157206,0.386389886831215
