"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl P1","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","P1P2vHCl","Digits of NaOH","vNaOH","Digits of HCl P3","P3HCl","P4HCl Additions","P4mV","P4Temp","corr_vHCl2","B","Si","P","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a OALK titration by hand to fill in the GREEN boxes. DO NOT TOUCH RED BOXES",61.518,-58,28.66608,68,0.099977,1242,1.5525,0,201.3,23.6,1.5525,"2.1524999999999999",172,0.215,235,0.29375,0,201.8,23,0.29375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.05,205.8,23.6,1.6025,"*last corr_vHCl value",-57.7,NA,NA,NA,0.05,206.5,22.9,0.34375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.1,209.9,23.5,1.6525,NA,NA,NA,NA,NA,0.1,210.1,22.9,0.39375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.5,23.4,1.7025,NA,NA,NA,NA,NA,0.15,213.6,22.9,0.44375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.6,23.4,1.7525,NA,NA,NA,NA,NA,0.2,216.7,22.9,0.49375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.3,23.4,1.8025,NA,NA,NA,NA,NA,0.25,219.4,22.8,0.54375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221.8,23.3,1.8525,NA,NA,NA,NA,NA,0.3,221.8,22.8,0.59375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.35,224.1,23.3,1.9025,NA,NA,NA,NA,NA,0.35,223.8,22.8,0.64375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.4,226.1,23.3,1.9525,NA,NA,NA,NA,NA,0.4,225.9,22.8,0.69375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.45,228.1,23.3,2.0025,NA,NA,NA,NA,NA,0.45,227.8,22.8,0.74375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.5,229.9,23.2,2.0525,NA,NA,NA,NA,NA,0.5,229.6,22.7,0.79375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231.5,23.2,2.1025,NA,NA,NA,NA,NA,0.55,231.2,22.7,0.84375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.6,233,23.2,2.1525,NA,NA,NA,NA,NA,0.6,232.8,22.7,0.89375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,2.2025,NA,NA,NA,NA,NA,0.65,NA,NA,0.94375,NA,NA,NA,1784.08281633493,0.386479723412793
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,0.99375,NA,NA,NA,1784.08281633493,0.386479723412793
