Date.Processed,Analyst,X.Sample.ID,Sample.Replicate,X.Sample.Tag,DateTime.Sampled,Week,X.Type,X.434.nm,X.578.nm,X.730.nm,Dye,Salinity,Temperature,Real.Time.Temperature,a1a2,a1a2.2,slope,yintercept,a1a2corrected,pH_actual,pH_corrected
7/18/22,Shea, EOS - 1 R1 - D,R1, No Dye,6/6/22 8:35,1, Measurement 1,0.0714,0.0552,0.1293,0,29.95956,25,16.53773,0.959311424,0.947976879,-0.000141682,0.97064597,0.88167062,7.673977959,7.634909475
7/18/22,Shea, EOS - 1 R1 - D,R1, mCP Added,6/6/22 8:35,1, Measurement 2,0.7086,0.6664,0.1275,80,29.95956,25,16.53773,NA,NA,NA,NA,NA,NA,NA
7/18/22,Shea, EOS - 1 R1 - D,R1, mCP 2 Added,6/6/22 8:35,1, Measurement 3,1.3469,1.2714,0.1257,160,29.95956,25,16.53773,NA,NA,NA,NA,NA,NA,NA
7/18/22,Shea, EOS - 1 R2 - C,R2, No Dye,6/6/22 8:35,1, Measurement 1,0.0845,0.0665,0.1384,0,29.95956,25,16.53773,0.968448865,0.953757225,-0.000183645,0.983140505,0.889811853,7.678377039,7.639156338
7/18/22,Shea, EOS - 1 R2 - C,R2, mCP Added,6/6/22 8:35,1, Measurement 2,0.7209,0.6826,0.1314,80,29.95956,25,16.53773,NA,NA,NA,NA,NA,NA,NA
7/18/22,Shea, EOS - 1 R2 - C,R2, mCP 2 Added,6/6/22 8:35,1, Measurement 3,1.3605,1.2926,0.1309,160,29.95956,25,16.53773,NA,NA,NA,NA,NA,NA,NA
7/18/22,Shea, EOS - 2 R1 - 3,R1, No Dye,6/6/22 9:33,1, Measurement 1,0.0715,0.0542,0.1273,0,29.90913,25,16.80469,1.006907631,0.991731669,-0.0001897,1.022083592,0.925156224,7.696578981,7.657281795
7/18/22,Shea, EOS - 2 R1 - 3,R1, mCP Added,6/6/22 9:33,1, Measurement 2,0.6909,0.6779,0.1242,80,29.90913,25,16.80469,NA,NA,NA,NA,NA,NA,NA
7/18/22,Shea, EOS - 2 R1 - 3,R1, mCP 2 Added,6/6/22 9:33,1, Measurement 3,1.3314,1.3131,0.1237,160,29.90913,25,16.80469,NA,NA,NA,NA,NA,NA,NA
7/18/22,Shea, EOS - 2 R2 - 1,R2, No Dye,6/6/22 9:33,1, Measurement 1,0.1012,0.0787,0.1481,0,29.90913,25,16.80469,0.999525316,0.983776267,-0.000196863,1.015274366,0.918319109,7.693156655,7.653847749
