"DateTime.Sampled","Site","Week","Sample","Salinity","Temperature","Real.Time.Temperature","Tidal_Depth_ft","pH_corrected_average","TAlk_measured_average","TAlk_measured_average_mol_kg","Arag","Calcite","DIC"
"6/9/22 10:56","Richardson Bay",1,1,31.91693,25,20.05821,2.5,7.659100599,2263.42908,0.002263429,1.50811475932444,2.30324077098202,2160.57039397564
"6/9/22 11:51","Richardson Bay",1,2,31.88013,25,21.55161,1.9,7.667656281,2304.90569,0.002304906,1.56275468468727,2.38692157218385,2197.9097191957
"6/9/22 12:50","Richardson Bay",1,3,31.98251,25,22.10262,1.4,7.682045041,2324.06632,0.002324066,1.62619653778971,2.48314971526593,2210.67410683828
"6/9/22 14:52","Richardson Bay",1,4,32.15609,25,24.1708,1.4,7.814458515,2342.82413,0.002342824,2.14904149891201,3.28003777233414,2173.93308191441
"6/9/22 15:50","Richardson Bay",1,5,32.03898,25,23.26337,2,7.738475223,2244.95257,0.002244953,1.76316538348639,2.69189896385077,2112.33515819024
"6/9/22 16:50","Richardson Bay",1,6,31.98344,25,22.80201,3,7.733258621,2284.879305,0.002284879,1.77475570547006,2.70998816085305,2153.07047432819
"6/21/22 9:39","Richardson Bay",2,7,32.49715,25,22.00109,2.1,7.665488209,2220.64601,0.002220646,1.51281927268044,2.30700497788731,2114.23929248703
"6/21/22 10:30","Richardson Bay",2,8,32.37526,25,21.83981,1.4,7.710171927,2297.86862,0.002297869,1.71366294012766,2.61407578518666,2172.78176240528
"6/21/22 11:28","Richardson Bay",2,9,32.41318,25,22.41211,0.8,7.756318842,2163.36097,0.002163361,1.770177218509,2.70002914105213,2025.21820520007
"6/21/22 13:29","Richardson Bay",2,10,31.48275,25,25.37028,0.8,7.834806016,2261.49412,0.002261494,2.13539438140664,3.26508999235108,2091.45992983124
"6/21/22 14:31","Richardson Bay",2,11,32.40299,25,23.5272,1.6,7.755241025,2280.795245,0.002280795,1.86429572132042,2.84365904058928,2138.35660754306
"6/21/22 15:29","Richardson Bay",2,12,32.29496,25,23.19967,2.5,7.727205096,2310.201,0.002310201,1.78165554514304,2.71834224905248,2178.3710696565
"7/5/22 7:33","Richardson Bay",3,13,32.58349,25,19.15045,2,7.64402201,2338.327635,0.002338328,1.52739701828992,2.32874362695385,2236.1819635907
"7/5/22 8:35","Richardson Bay",3,14,32.70726,25,19.40604,1.1,7.653558281,2328.94522,0.002328945,1.55455052209195,2.36943545508575,2222.97983504902
"7/5/22 9:33","Richardson Bay",3,15,32.51494,25,19.68949,0.6,7.648712855,2264.75613,0.002264756,1.49128127309739,2.2740607325542,2163.13105232067
"7/5/22 11:36","Richardson Bay",3,16,32.93124,25,20.37835,0.6,7.79848925,2313.59378,0.002313594,2.07917591649047,3.1673934104923,2148.91063680964
"7/5/22 12:33","Richardson Bay",3,17,32.56996,25,20.37089,1.2,7.659350243,2279.03674,0.002279037,1.53559925721929,2.34132629213677,2172.89855226837
"7/5/22 13:33","Richardson Bay",3,18,32.62544,25,20.61472,2.1,7.677427615,2283.580585,0.002283581,1.59854022912675,2.43696399084899,2170.34459787094
