"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl P1","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","P1P2vHCl","Digits of NaOH","vNaOH","Digits of HCl P3","P3HCl","P4HCl Additions","P4mV","P4Temp","corr_vHCl2","B","Si","P","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a OALK titration by hand to fill in the GREEN boxes. DO NOT TOUCH RED BOXES",60.323,-52.1,29.8502,70,0.099977,1253,1.56625,0,201.2,24.2,1.56625,"2.11625",142,0.1775,"231",0.28875,0,201.9,22.9,0.28875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206,24.2,1.61625,"*last corr_vHCl value",-68.1,NA,"20 digits to -42.6",NA,0.05,206.4,22.8,0.33875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210.2,24.1,1.66625,NA,NA,NA,NA,NA,0.1,210,22.8,0.38875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.8,24.1,1.71625,NA,NA,NA,NA,NA,0.15,213.5,22.7,0.43875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.2,217,24,1.76625,NA,NA,NA,NA,NA,0.2,216.6,22.7,0.48875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.8,24,1.81625,NA,NA,NA,NA,NA,0.25,219.2,22.7,0.53875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.3,222.3,23.9,1.86625,NA,NA,NA,NA,NA,0.3,221.6,22.6,0.58875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.35,224.6,23.9,1.91625,NA,NA,NA,NA,NA,0.35,223.6,22.6,0.63875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.4,226.8,23.8,1.96625,NA,NA,NA,NA,NA,0.4,225.7,22.6,0.68875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.45,228.7,23.8,2.01625,NA,NA,NA,NA,NA,0.45,227.5,22.5,0.73875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.5,230.5,23.7,2.06625,NA,NA,NA,NA,NA,0.5,229.3,22.5,0.78875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.55,232.1,23.7,2.11625,NA,NA,NA,NA,NA,0.55,231,22.5,0.83875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,2.16625,NA,NA,NA,NA,NA,0.6,232.5,22.4,0.88875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,2.21625,NA,NA,NA,NA,NA,0.65,NA,NA,0.93875,NA,NA,NA,1117.07419743124,0.373985749128949
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,0.98875,NA,NA,NA,1117.07419743124,0.373985749128949
