"Date.Processed","Analyst","X.Sample.ID","X.Sample.Tag","Date.Sampled","X.Type","X.434.nm","X.578.nm","X.730.nm","Dye","Salinity","Temperature","Real.Time.Temperature","a1a2","a1a2.2","slope","yintercept","a1a2corrected","pH_actual","pH_corrected"
"8/10/22","Shea"," Blank"," No Dye",NA," Blank",0.0638,0.0578,0.0598,0,0,25,25,NA,NA,NA,NA,NA,NA,NA
"8/10/22","Shea"," GC - 1 R1 - D"," No Dye","6/8/22"," Measurement 1",0.1082,0.061,0.1319,0,28.5,25,23,2.29398954703833,2.19030482641829,-0.00129605900775047,2.39767426765836,2.10241345729095,8.09601365931637,8.05228114807049
"8/10/22","Shea"," GC - 1 R1 - D"," mCP Added","6/8/22"," Measurement 2",0.566,1.113,0.1305,80,28.5,25,23,NA,NA,NA,NA,NA,NA,NA
"8/10/22","Shea"," GC - 1 R1 - D"," mCP 2 Added","6/8/22"," Measurement 3",1.0393,2.1486,0.1314,160,28.5,25,23,NA,NA,NA,NA,NA,NA,NA
"8/10/22","Shea"," GC - 1 R2 - E"," No Dye","6/8/22"," Measurement 1",0.1354,0.0825,0.1497,0,28.5,25,23,2.28934885726606,2.1703449753589,-0.00148754852383948,2.40835273917322,2.09695307953326,8.09499160616435,8.0509855178297
"8/10/22","Shea"," GC - 1 R2 - E"," mCP Added","6/8/22"," Measurement 2",0.5973,1.1424,0.1478,80,28.5,25,23,NA,NA,NA,NA,NA,NA,NA
"8/10/22","Shea"," GC - 1 R2 - E"," mCP 2 Added","6/8/22"," Measurement 3",1.0647,2.156,0.1485,160,28.5,25,23,NA,NA,NA,NA,NA,NA,NA
"8/11/22","Shea"," GC - 2 R1 - C"," No Dye","6/8/22"," Measurement 1",0.1024,0.0545,0.1242,0,28.54738,25,22.84254,1.19851756364808,1.18062041360907,-0.000223714375487618,1.21641471368709,1.10122583660178,7.78092383201394,7.74121501586852
"8/11/22","Shea"," GC - 2 R1 - C"," mCP Added","6/8/22"," Measurement 2",0.7223,0.7976,0.1235,80,28.54738,25,22.84254,NA,NA,NA,NA,NA,NA,NA
"8/11/22","Shea"," GC - 2 R1 - C"," mCP 2 Added","6/8/22"," Measurement 3",1.3228,1.5064,0.1244,160,28.54738,25,22.84254,NA,NA,NA,NA,NA,NA,NA
"8/11/22","Shea"," GC - 2 R2 - D"," No Dye","6/8/22"," Measurement 1",0.1291,0.0737,0.1391,0,28.54738,25,22.84254,1.20303890465854,1.17470748517391,-0.000354142743557926,1.23137032414317,1.10456336252695,7.78269530323165,7.7426305101817
"8/11/22","Shea"," GC - 2 R2 - D"," mCP Added","6/8/22"," Measurement 2",0.7284,0.7946,0.1395,80,28.54738,25,22.84254,NA,NA,NA,NA,NA,NA,NA
"8/11/22","Shea"," GC - 2 R2 - D"," mCP 2 Added","6/8/22"," Measurement 3",1.355,1.5302,0.1422,160,28.54738,25,22.84254,NA,NA,NA,NA,NA,NA,NA
"8/11/22","Shea"," GC - 3 R1 - E"," No Dye","6/8/22"," Measurement 1",0.1068,0.0537,0.1221,0,28.64348,25,23.17684,0.92404297170525,0.915128006206362,-0.000111437068736109,0.932957937204139,0.849414574540132,7.65939481379759,7.62048443190785
"8/11/22","Shea"," GC - 3 R1 - E"," mCP Added","6/8/22"," Measurement 2",0.768,0.6647,0.1224,80,28.64348,25,23.17684,NA,NA,NA,NA,NA,NA,NA
"8/11/22","Shea"," GC - 3 R1 - E"," mCP 2 Added","6/8/22"," Measurement 3",1.4132,1.2552,0.1231,160,28.64348,25,23.17684,NA,NA,NA,NA,NA,NA,NA
"8/11/22","Shea"," GC - 3 R2 - G"," No Dye","6/8/22"," Measurement 1",0.2269,0.15,0.202,0,28.64348,25,23.17684,0.93331246086412,0.918969264203664,-0.000179289958255703,0.947655657524576,0.857513394946326,7.66401755419591,7.62486131556275
"8/11/22","Shea"," GC - 3 R2 - G"," mCP Added","6/8/22"," Measurement 2",0.8606,0.7411,0.1969,80,28.64348,25,23.17684,NA,NA,NA,NA,NA,NA,NA
"8/11/22","Shea"," GC - 3 R2 - G"," mCP 2 Added","6/8/22"," Measurement 3",1.504,1.3323,0.1961,160,28.64348,25,23.17684,NA,NA,NA,NA,NA,NA,NA
