Date.Processed,Analyst,X.Sample.ID,Sample.Replicate,X.Sample.Tag,DateTime.Sampled,Week,X.Type,X.434.nm,X.578.nm,X.730.nm,Dye,Salinity,Temperature,Real.Time.Temperature,a1a2,a1a2.2,slope,yintercept,a1a2corrected,pH_actual,pH_corrected
8/14/22,MJ Jain, RB - 1 - R1 - D,R1, No Dye,6/9/22 10:56,1, Measurement 1,0.0695,0.0496,0.1219,0,31.91693,25,20.05821,1.019183873,1.004485023,-0.000183736,1.033882722,0.936488236,7.697981574,7.658684339
8/14/22,MJ Jain, RB - 1 - R1 - D,R1, mCP Added,6/9/22 10:56,1, Measurement 2,0.6852,0.6771,0.1225,80,31.91693,25,20.05821,NA,NA,NA,NA,NA,NA,NA
8/14/22,MJ Jain, RB - 1 - R1 - D,R1, mCP 2 Added,6/9/22 10:56,1, Measurement 3,1.3104,1.3051,0.1234,160,31.91693,25,20.05821,NA,NA,NA,NA,NA,NA,NA
8/14/22,MJ Jain, RB - 1- R2 - E,R2, No Dye,6/9/22 10:56,1, Measurement 1,0.0875,0.0624,0.1317,0,31.91693,25,20.05821,1.021307506,1.003194378,-0.000226414,1.039420634,0.938172354,7.698950561,7.659516858
8/14/22,MJ Jain, RB - 1- R2 - E,R2, mCP Added,6/9/22 10:56,1, Measurement 2,0.7066,0.6947,0.1313,80,31.91693,25,20.05821,NA,NA,NA,NA,NA,NA,NA
8/14/22,MJ Jain, RB - 1- R2 - E,R2, mCP 2 Added,6/9/22 10:56,1, Measurement 3,1.333,1.3231,0.1316,160,31.91693,25,20.05821,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 2 R1 - 1,R1, No Dye,6/9/22 11:51,1, Measurement 1,0.0838,0.0576,0.1285,0,31.88013,25,21.55161,1.04048583,1.016497654,-0.000299852,1.064474006,0.955352869,7.707694135,7.668007451
8/15/22,Shea, RB - 2 R1 - 1,R1, mCP Added,6/9/22 11:51,1, Measurement 2,0.7017,0.7005,0.1289,80,31.88013,25,21.55161,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 2 R1 - 1,R1, mCP 2 Added,6/9/22 11:51,1, Measurement 3,1.3629,1.3726,0.1294,160,31.88013,25,21.55161,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 2 R2 - 2,R2, No Dye,6/9/22 11:51,1, Measurement 1,0.0846,0.0584,0.1287,0,31.88013,25,21.55161,1.038039753,1.024244383,-0.000172442,1.051835123,0.953907264,7.706597251,7.667305111
8/15/22,Shea, RB - 2 R2 - 2,R2, mCP Added,6/9/22 11:51,1, Measurement 2,0.6722,0.6682,0.1327,80,31.88013,25,21.55161,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 2 R2 - 2,R2, mCP 2 Added,6/9/22 11:51,1, Measurement 3,1.2919,1.3029,0.1337,160,31.88013,25,21.55161,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 3 R1 - 3,R1, No Dye,6/9/22 12:50,1, Measurement 1,0.0724,0.049,0.1212,0,31.98251,25,22.10262,1.089352682,1.062822004,-0.000331633,1.11588336,1.000110915,7.728898552,7.689054167
8/15/22,Shea, RB - 3 R1 - 3,R1, mCP Added,6/9/22 12:50,1, Measurement 2,0.6877,0.7191,0.1232,80,31.98251,25,22.10262,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 3 R1 - 3,R1, mCP 2 Added,6/9/22 12:50,1, Measurement 3,1.2902,1.3594,0.124,160,31.98251,25,22.10262,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 3 R2 - C,R2, No Dye,6/9/22 12:50,1, Measurement 1,0.1177,0.0792,0.1448,0,31.98251,25,22.10262,1.063876652,0.957701405,-0.001327191,1.170051899,0.970385457,7.71784649,7.675035914
8/15/22,Shea, RB - 3 R2 - C,R2, mCP Added,6/9/22 12:50,1, Measurement 2,0.7544,0.7565,0.1459,80,31.98251,25,22.10262,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 3 R2 - C,R2, mCP 2 Added,6/9/22 12:50,1, Measurement 3,1.4794,1.4511,0.1522,160,31.98251,25,22.10262,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 4 R1 - D,R1, No Dye,6/9/22 14:52,1, Measurement 1,0.0957,0.0594,0.1289,0,32.15609,25,24.1708,1.409895833,1.456662354,0.000584582,1.363129312,1.300779552,7.850194518,7.811942269
8/15/22,Shea, RB - 4 R1 - D,R1, mCP Added,6/9/22 14:52,1, Measurement 2,0.673,0.8728,0.1302,80,32.15609,25,24.1708,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 4 R1 - D,R1, mCP 2 Added,6/9/22 14:52,1, Measurement 3,1.2129,1.6598,0.129,160,32.15609,25,24.1708,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 4 R2 - E,R2, No Dye,6/9/22 14:52,1, Measurement 1,0.1305,0.0872,0.1492,0,32.15609,25,24.1708,1.431079895,1.406699436,-0.000304756,1.455460354,1.314677957,7.857305383,7.81697476
8/15/22,Shea, RB - 4 R2 - E,R2, mCP Added,6/9/22 14:52,1, Measurement 2,0.7175,0.9197,0.1667,80,32.15609,25,24.1708,NA,NA,NA,NA,NA,NA,NA
8/15/22,Shea, RB - 4 R2 - E,R2, mCP 2 Added,6/9/22 14:52,1, Measurement 3,1.2716,1.6972,0.1715,160,32.15609,25,24.1708,NA,NA,NA,NA,NA,NA,NA
8/16/22,Shea, RB - 5 R1 - 1,R1, No Dye,6/9/22 15:50,1, Measurement 1,0.0834,0.0567,0.1278,0,32.03898,25,23.26337,1.214751286,1.190139688,-0.000307645,1.239362885,1.115632153,7.779888393,7.739929209
8/16/22,Shea, RB - 5 R1 - 1,R1, mCP Added,6/9/22 15:50,1, Measurement 2,0.6668,0.7653,0.1282,80,32.03898,25,23.26337,NA,NA,NA,NA,NA,NA,NA
8/16/22,Shea, RB - 5 R1 - 1,R1, mCP 2 Added,6/9/22 15:50,1, Measurement 3,1.2767,1.4909,0.1296,160,32.03898,25,23.26337,NA,NA,NA,NA,NA,NA,NA
8/16/22,Shea, RB - 5 R2 - 2,R2, No Dye,6/9/22 15:50,1, Measurement 1,0.1294,0.091,0.1541,0,32.03898,25,23.26337,1.206286837,1.192805514,-0.000168517,1.21976816,1.108721646,7.776596764,7.737021237
