"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl P1","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","P1P2vHCl","Digits of NaOH","vNaOH","Digits of HCl P3","P3HCl","P4HCl Additions","P4mV","P4Temp","corr_vHCl2","B","Si","P","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a OALK titration by hand to fill in the GREEN boxes. DO NOT TOUCH RED BOXES",62.623,-57.1,32.37526,68,0.099977,1344,1.68,0,201.2,23.8,1.68,"2.2799999999999998",142,0.1775,268,0.335,0,202.6,23.1,0.335,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206,23.7,1.73,"*last corr_vHCl value",-53.8,NA,NA,NA,0.05,207.2,23.1,0.385,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210.1,23.7,1.78,NA,NA,NA,NA,NA,0.1,211.1,23.1,0.435,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.9,23.7,1.83,NA,NA,NA,NA,NA,0.15,215,23.1,0.485,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.2,217,23.6,1.88,NA,NA,NA,NA,NA,0.2,217.9,23.1,0.535,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.7,23.6,1.93,NA,NA,NA,NA,NA,0.25,220.5,23.1,0.585,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.3,222.2,23.6,1.98,NA,NA,NA,NA,NA,0.3,222.8,23,0.635,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.35,224.5,23.5,2.03,NA,NA,NA,NA,NA,0.35,225,23,0.685,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.4,226.5,23.5,2.08,NA,NA,NA,NA,NA,0.4,227,23,0.735,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.45,228.5,23.5,2.13,NA,NA,NA,NA,NA,0.45,228.8,23,0.785,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.5,230.2,23.4,2.18,NA,NA,NA,NA,NA,0.5,230.5,23,0.835,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231.9,23.4,2.23,NA,NA,NA,NA,NA,0.55,232.2,22.9,0.885,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,0.6,233.5,23.4,2.28,NA,NA,NA,NA,NA,0.6,NA,NA,0.935,NA,NA,NA,2355.44741998178,0.403730611930757
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,0.985,NA,NA,NA,2355.44741998178,0.403730611930757
