"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl P1","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","P1P2vHCl","Digits of NaOH","vNaOH","Digits of HCl P3","P3HCl","P4HCl Additions","P4mV","P4Temp","corr_vHCl2","B","Si","P","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a OALK titration by hand to fill in the GREEN boxes. DO NOT TOUCH RED BOXES",64.604,-57.9,33.494,70,0.099977,1262,1.5775,0,199.9,23.1,1.5775,"2.2275",150,0.1875,"246",0.3075,0,201.3,22,0.3075,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.05,204.6,23.1,1.6275,"*last corr_vHCl value",-64.3,NA,"34 digits to -42.8",NA,0.05,205.9,22,0.3575,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.1,208.5,23,1.6775,NA,NA,NA,NA,NA,0.1,209.8,21.9,0.4075,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.15,212.2,23,1.7275,NA,NA,NA,NA,NA,0.15,213.2,21.9,0.4575,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.2,215.3,22.9,1.7775,NA,NA,NA,NA,NA,0.2,216.2,21.9,0.5075,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.25,218.1,22.9,1.8275,NA,NA,NA,NA,NA,0.25,218.7,21.9,0.5575,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.3,220.6,22.9,1.8775,NA,NA,NA,NA,NA,0.3,220.8,21.8,0.6075,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.35,222.9,22.8,1.9275,NA,NA,NA,NA,NA,0.35,223,21.8,0.6575,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.4,225,22.7,1.9775,NA,NA,NA,NA,NA,0.4,225.1,21.8,0.7075,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.45,226.9,22.7,2.0275,NA,NA,NA,NA,NA,0.45,227,21.7,0.7575,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.5,228.6,22.7,2.0775,NA,NA,NA,NA,NA,0.5,228.8,21.7,0.8075,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.55,230.3,22.6,2.1275,NA,NA,NA,NA,NA,0.55,230.4,21.7,0.8575,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.6,231.9,22.6,2.1775,NA,NA,NA,NA,NA,0.6,231.9,21.7,0.9075,NA,NA,NA,2121.62262099826,0.402528389561145
NA,NA,NA,NA,NA,NA,NA,NA,0.65,233.3,22.6,2.2275,NA,NA,NA,NA,NA,0.65,233.4,21.6,0.9575,NA,NA,NA,2121.62262099826,0.402528389561145
